# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
上腔静脉综合征	shangqiangjingmaizonghezheng
上臂假肢	shangbijiazhi
上迎香	shangyingxiang
上颌动脉	shanghedongmai
上颌神经	shangheshenjing
上颌窦	shanghedou
上颌窦囊肿	shanghedounangzhong
上颌窦炎	shanghedouyan
上颌窦骨折	shanghedouguzhe
上颌骨骨折	shangheguguzhe
下丘脑性闭经	xiaqiunaoxingbijing
下丘脑综合征	xiaqiunaozonghezheng
下乳涌泉散	xiaruyongquansan
下关穴	xiaguanxue
下利清谷	xialiqinggu
下巨虚	xiajuxu
下廉	xialian
下极俞	xiajiyu
下火王	xiahuowang
下肢动脉硬化	xiazhidongmaiyinghua
下肢溃疡	xiazhikuiyang
下肢肌	xiazhiji
下肢脉管炎	xiazhimaiguanyan
下肢静脉	xiazhijingmai
下肢静脉功能不全	xiazhijingmaigongnengbuquan
下肢静脉炎	xiazhijingmaiyan
下肢静脉血栓形成	xiazhijingmaixueshuanxingcheng
下肢静脉造影	xiazhijingmaizaoying
下脘穴	xiawanxue
下腔静脉	xiaqiangjingmai
下颌下腺	xiahexiaxian
下颌关节脱位	xiaheguanjietuowei
下颌角	xiahejiao
下颌骨骨折	xiaheguguzhe
下颌骨髁突	xiaheguketu
下鼻甲部分切除术	xiabijiabufenqiechushu
不典型增生	budianxingzengsheng
不内外因	buneiwaiyin
不分离	bufenli
不动关节	budongguanjie
不孕不育	buyunbuyu
不安腿综合征	buantuizonghezheng
不完全显性	buwanquanxianxing
不完全流产	buwanquanliuchan
不寐病	bumeibing
不换金正气散	buhuanjinzhengqisan
不明原因肺炎	bumingyuanyinfeiyan
不育性	buyuxing
不规则散光	buguizesanguang
不规则热	buguizere
不规则阴道出血	buguizeyindaochuxie
不规则骨	buguizegu
不随意运动	busuiyiyundong
不饱和脂肪酸	bubaohezhifangsuan
丘小庆	qiuxiaoqing
丘疱疹	qiupaozhen
丘疹性荨麻疹	qiuzhenxingxunmazhen
丘脑出血	qiunaochuxie
丙咪嗪	bingmiqin
丙型病毒性肝炎	bingxingbingduxingganyan
丙型肝炎病毒	bingxingganyanbingdu
丙戊酰胺片	bingwuxiananpian
丙戊酸	bingwusuan
丙戊酸钠	bingwusuanna
丙戊酸钠口服液	bingwusuannakoufuye
丙戊酸钠片	bingwusuannapian
丙戊酸钠缓释片	bingwusuannahuanshipian
丙戊酸镁	bingwusuanmei
丙戊酸镁缓释片	bingwusuanmeihuanshipian
丙氧匹林片	bingyangpilinpian
丙氧氨酚复方片	bingyanganfenfufangpian
丙氧氨酚片	bingyanganfenpian
丙氨酸氨基转移酶	bingansuananjizhuanyimei
丙氨酸转氨酶	bingansuanzhuananmei
丙泊酚注射液	bingpofenzhusheye
丙硫异烟胺	bingliuyiyanan
丙硫氧嘧啶	bingliuyangmiding
丙硫氧嘧啶片	bingliuyangmidingpian
丙类传染病	bingleichuanranbing
丙肝抗体	binggankangti
丙胺卡因	bingankayin
丙谷胺	bingguan
丙酮酸激酶缺乏症	bingtongsuanjimeiquefazheng
丙酯	bingzhi
丙酸倍氯米松	bingsuanbeilvmisong
丙酸氟替卡松	bingsuanfutikasong
丙酸氯倍他索	bingsuanlvbeitasuo
丙酸氯倍他索乳膏	bingsuanlvbeitasuorugao
丙酸睾丸素	bingsuangaowansu
丙酸血症	bingsuanxuezheng
丛林斑疹伤寒	conglinbanzhenshanghan
东方田鼠	dongfangtianshu
东方疖	dongfangjie
东方福尔灵	dongfangfuerling
东茛菪碱	donggendangjian
东风桔	dongfengju
丝氨酸蛋白酶	siansuandanbaimei
丝状疣	sizhuangyou
丝竹空穴	sizhukongxue
丝腺	sixian
丝萸养血益肾颗粒	siyuyangxueyishenkeli
两性畸形	liangxingjixing
严用和	yanyonghe
严迪	yandi
个人识别	gerenshibie
个虫	gechong
中冲	zhongchong
中冲穴	zhongchongxue
中医五官科学	zhongyiwuguankexue
中医伤科学	zhongyishangkexue
中医各家学说	zhongyigejiaxueshuo
中医妇科学	zhongyifukexue
中医学基础	zhongyixuejichu
中医心理学	zhongyixinlixue
中医护理学	zhongyihulixue
中医护理技术	zhongyihulijishu
中医杂志	zhongyizazhi
中医正骨学	zhongyizhengguxue
中医眼科学	zhongyiyankexue
中医美容学	zhongyimeirongxue
中医耳鼻咽喉科学	zhongyierbiyanhoukexue
中医药学概论	zhongyiyaoxuegailun
中医药膳学	zhongyiyaoshanxue
中医诊断	zhongyizhenduan
中医针灸疗法	zhongyizhenjiuliaofa
中医预防医学	zhongyiyufangyixue
中医骨伤科学	zhongyigushangkexue
中华口腔医学杂志	zhonghuakouqiangyixuezazhi
中华跌打丸	zhonghuadiedawan
中华跌打酒	zhonghuadiedajiu
中厚皮片	zhonghoupipian
中和汤	zhonghetang
中和试验	zhongheshiyan
中央成分	zhongyangchengfen
中封穴	zhongfengxue
中心卫生院	zhongxinweishengyuan
中心静脉导管	zhongxinjingmaidaoguan
中性皮肤	zhongxingpifu
中性粒细胞减少	zhongxinglixibaojianshao
中恶	zhonge
中斜角肌	zhongxiejiaoji
中暑痉挛	zhongshujingluan
中暑衰竭	zhongshushuaijie
中极穴	zhongjixue
中枢兴奋药	zhongshuxingfenyao
中枢性眩晕	zhongshuxingxuanyun
中枢神经系统	zhongshushenjingxitong
中枢神经系统感染	zhongshushenjingxitongganran
中毒性休克	zhongduxingxiuke
中毒性休克综合征	zhongduxingxiukezonghezheng
中毒性巨结肠	zhongduxingjujiechang
中毒性弱视	zhongduxingruoshi
中毒性心肌炎	zhongduxingxinjiyan
中毒性痢疾	zhongduxingliji
中毒性白内障	zhongduxingbaineizhang
中毒性红斑	zhongduxinghongban
中毒性肝炎	zhongduxingganyan
中毒性肝病	zhongduxingganbing
中毒性肝硬化	zhongduxingganyinghua
中毒性肺水肿	zhongduxingfeishuizhong
中毒性肺炎	zhongduxingfeiyan
中毒性脑病	zhongduxingnaobing
中毒病	zhongdubing
中毒颗粒	zhongdukeli
中气下陷	zhongqixiaxian
中气下陷证	zhongqixiaxianzheng
中注	zhongzhu
中老年高钙片	zhonglaoniangaogaipian
中耳胆脂瘤	zhongerdanzhiliu
中肠	zhongchang
中肾	zhongshen
中脘穴	zhongwanxue
中膈	zhongge
中药化学	zhongyaohuaxue
中药学专业知识	zhongyaoxuezhuanyezhishi
中药散剂	zhongyaosanji
中药汤剂	zhongyaotangji
中药炮制学	zhongyaopaozhixue
中药药剂学	zhongyaoyaojixue
中药药理学	zhongyaoyaolixue
中药鉴定学	zhongyaojiandingxue
中西医结合	zhongxiyijiehe
中西医结合医院	zhongxiyijieheyiyuan
中间型	zhongjianxing
中间宿主	zhongjiansuzhu
中间清醒期	zhongjianqingxingqi
中间神经元	zhongjianshenjingyuan
中间缺失	zhongjianqueshi
中静脉	zhongjingmai
中风回春丸	zhongfenghuichunwan
中风回春片	zhongfenghuichunpian
中风安口服液	zhongfengankoufuye
中髎	zhongliao
中鼻甲	zhongbijia
中鼻道	zhongbidao
丰隆	fenglong
丰隆穴	fenglongxue
临床免疫学	linchuangmianyixue
临床护理	linchuanghuli
临床检验	linchuangjianyan
临床检验基础	linchuangjianyanjichu
临床法医学	linchuangfayixue
临床病理学	linchuangbinglixue
临床药学	linchuangyaoxue
临床药理学	linchuangyaolixue
临床营养学	linchuangyingyangxue
临床诊断	linchuangzhenduan
临床遗传学	linchuangyichuanxue
临床麻醉	linchuangmazui
临床麻醉学	linchuangmazuixue
丹七片	danqipian
丹七软胶囊	danqiruanjiaonang
丹参保心茶	danshenbaoxincha
丹参川芎嗪注射液	danshenchuanqiongqinzhusheye
丹参注射液	danshenzhusheye
丹参滴注液	danshendizhuye
丹参胶囊	danshenjiaonang
丹参舒心	danshenshuxin
丹参舒心胶囊	danshenshuxinjiaonang
丹参酮胶囊	danshentongjiaonang
丹宁酸	danningsuan
丹杞颗粒	danqikeli
丹栀逍遥丸	danzhixiaoyaowan
丹栀逍遥散	danzhixiaoyaosan
丹栀逍遥胶囊	danzhixiaoyaojiaonang
丹桂香颗粒	danguixiangkeli
丹毒病	dandubing
丹皮酚	danpifen
丹红化瘀口服液	danhonghuayukoufuye
丹红注射液	danhongzhusheye
丹葛颈舒胶囊	dangejingshujiaonang
丹蓝通络口服液	danlantongluokoufuye
丹迪	dandi
丹香冠心注射液	danxiangguanxinzhusheye
丹鹿通督片	danlutongdupian
主任药师	zhurenyaoshi
主动脉动脉瘤	zhudongmaidongmailiu
主动脉夹层动脉瘤	zhudongmaijiacengdongmailiu
主动脉炎	zhudongmaiyan
主动脉狭窄	zhudongmaixiazhai
主动脉瓣狭窄	zhudongmaibanxiazhai
主动脉瓣置换术	zhudongmaibanzhihuanshu
主动脉瓣赘生物	zhudongmaibanzhuishengwu
主动脉瓣返流	zhudongmaibanfanliu
主动脉硬化	zhudongmaiyinghua
主动脉窦	zhudongmaidou
主动脉结	zhudongmaijie
主动脉缩窄	zhudongmaisuozhai
主动转运	zhudongzhuanyun
主动运动	zhudongyundong
主动运输	zhudongyunshu
主基因	zhujiyin
主管药师	zhuguanyaoshi
主细胞	zhuxibao
丽珠优可	lizhuyouke
丽珠得乐	lizhudele
丽珠肠乐	lizhuchangle
丽蝇	liying
丽达	lida
久强脑立清	jiuqiangnaoliqing
久泄	jiuxie
义眼	yiyan
义齿性口炎	yichixingkouyan
乌司他丁	wusitading
乌头碱	wutoujian
乌拉地尔	wuladier
乌梅丸	wumeiwan
乌洛托品溶液	wuluotuopinrongye
乌灵胶囊	wulingjiaonang
乌灵菌粉	wulingjunfen
乌蛇	wushe
乌蛇止痒丸	wushezhiyangwan
乌贝颗粒	wubeikeli
乌贼墨	wuzeimo
乌金口服液	wujinkoufuye
乌鸡增乳胶囊	wujizengrujiaonang
乌鸡白凤丸	wujibaifengwan
乌鸡白凤片	wujibaifengpian
乌鸡白凤颗粒	wujibaifengkeli
乌龙养血胶囊	wulongyangxuejiaonang
乐力钙	leligai
乐卡地平	lekadiping
乐思哲	lesizhe
乔木层	qiaomuceng
乙双吗啉	yishuangmalin
乙型病毒性肝炎	yixingbingduxingganyan
乙型肝炎疫苗	yixingganyanyimiao
乙型肝炎病毒	yixingganyanbingdu
乙型脑炎灭活疫苗	yixingnaoyanmiehuoyimiao
乙型脑炎纯化疫苗	yixingnaoyanchunhuayimiao
乙基纤维素	yijixianweisu
乙氧苯柳胺	yiyangbenliuan
乙水杨胺片	yishuiyanganpian
乙状结肠扭转	yizhuangjiechangniuzhuan
乙状结肠系膜	yizhuangjiechangximo
乙状结肠造瘘术	yizhuangjiechangzaoloushu
乙状结肠镜检查	yizhuangjiechangjingjiancha
乙琥胺	yihuan
乙类传染病	yileichuanranbing
乙肝两对半	yiganliangduiban
乙肝免疫球蛋白	yiganmianyiqiudanbai
乙肝核心抗体	yiganhexinkangti
乙肝清热解毒胶囊	yiganqingrejiedujiaonang
乙肝灵丸	yiganlingwan
乙肝灵胶囊	yiganlingjiaonang
乙肝舒康	yiganshukang
乙肝舒康胶囊	yiganshukangjiaonang
乙肝表面抗体	yiganbiaomiankangti
乙肝表面抗原	yiganbiaomiankangyuan
乙胺丁醇	yiandingchun
乙胺嘧啶片	yianmidingpian
乙脑减毒活疫苗	yinaojianduhuoyimiao
乙脑疫苗	yinaoyimiao
乙脑病毒	yinaobingdu
乙酰丙嗪	yixianbingqin
乙酰半胱氨酸	yixianbanguangansuan
乙酰半胱氨酸颗粒	yixianbanguangansuankeli
乙酰可待因	yixiankedaiyin
乙酰唑胺片	yixianzuoanpian
乙酰氨基酚	yixiananjifen
乙酰胆碱酯酶	yixiandanjianzhimei
乙酰胺注射液	yixiananzhusheye
乙酰螺旋霉素片	yixianluoxuanmeisupian
乙酰麦迪霉素	yixianmaidimeisu
乙醇中毒	yichunzhongdu
九制大黄丸	jiuzhidahuangwan
九华痔疮栓	jiuhuazhichuangshuan
九华膏	jiuhuagao
九味健肾胶囊	jiuweijianshenjiaonang
九味双解口服液	jiuweishuangjiekoufuye
九味沉香胶囊	jiuweichenxiangjiaonang
九味石灰华散	jiuweishihuihuasan
九味羌活丸	jiuweiqianghuowan
九味羌活汤	jiuweiqianghuotang
九味羌活颗粒	jiuweiqianghuokeli
九味肝泰胶囊	jiuweigantaijiaonang
九头狮子草	jiutoushizicao
习惯性流产	xiguanxingliuchan
习惯性脱位	xiguanxingtuowei
乡村医生	xiangcunyisheng
乡镇卫生院	xiangzhenweishengyuan
买麻藤	maimateng
乳中	ruzhong
乳中穴	ruzhongxue
乳头内陷	rutouneixian
乳头溢液	rutouyiye
乳头状囊腺癌	rutouzhuangnangxianai
乳头状瘤	rutouzhuangliu
乳头状腺瘤	rutouzhuangxianliu
乳头瘤病毒	rutouliubingdu
乳宁片	runingpian
乳宁胶囊	runingjiaonang
乳宁颗粒	runingkeli
乳房下垂	rufangxiachui
乳房假体	rufangjiati
乳房再造术	rufangzaizaoshu
乳房发育不良	rufangfayubuliang
乳房悬韧带	rufangxuanrendai
乳房湿疹	rufangshizhen
乳房良性肿瘤	rufangliangxingzhongliu
乳杆菌	ruganjun
乳果糖口服溶液	ruguotangkoufurongye
乳核内消片	ruheneixiaopian
乳核散结片	ruhesanjiepian
乳根穴	rugenxue
乳清蛋白粉	ruqingdanbaifen
乳痛症	rutongzheng
乳癖消片	rupixiaopian
乳癖清胶囊	rupiqingjiaonang
乳糖酸红霉素	rutangsuanhongmeisu
乳糜尿	ruminiao
乳糜微粒	rumiweili
乳糜胸	rumixiong
乳腺囊肿	ruxiannangzhong
乳腺增生	ruxianzengsheng
乳腺外科	ruxianwaike
乳腺导管扩张	ruxiandaoguankuozhang
乳腺康注射液	ruxiankangzhusheye
乳腺癌改良根治术	ruxianaigailianggenzhishu
乳腺癌根治术	ruxianaigenzhishu
乳腺纤维腺瘤	ruxianxianweixianliu
乳腺结核	ruxianjiehe
乳腺腺病	ruxianxianbing
乳膏剂	rugaoji
乳酶生	rumeisheng
乳酶生片	rumeishengpian
乳酸亚铁糖浆	rusuanyatietangjiang
乳酸依沙吖啶	rusuanyishaading
乳酸依沙吖啶溶液	rusuanyishaadingrongye
乳酸左氧氟沙星	rusuanzuoyangfushaxing
乳酸左氧氟沙星片	rusuanzuoyangfushaxingpian
乳酸溶液	rusuanrongye
乳酸环丙沙星	rusuanhuanbingshaxing
乳酸菌素	rusuanjunsu
乳酸菌素片	rusuanjunsupian
乳酸菌素颗粒	rusuanjunsukeli
乳酸钙片	rusuangaipian
乳酸钠	rusuanna
二乙氨基乙醇	eryianjiyichun
二仙汤	erxiantang
二代病例	erdaibingli
二倍体细胞	erbeitixibao
二分体	erfenti
二十五味余甘子丸	ershiwuweiyuganziwan
二十五味儿茶丸	ershiwuweierchawan
二十五味大汤丸	ershiwuweidatangwan
二十五味松石丸	ershiwuweisongshiwan
二十五味珊瑚丸	ershiwuweishanhuwan
二十五味珍珠丸	ershiwuweizhenzhuwan
二十五味肺病丸	ershiwuweifeibingwan
二十五味阿魏胶囊	ershiwuweiaweijiaonang
二十五味驴血丸	ershiwuweilvxuewan
二十五味鬼臼丸	ershiwuweiguijiuwan
二十八烷醇	ershibawanchun
二十味肉豆蔻丸	ershiweiroudoukouwan
二咖啡酰奎尼酸	erkafeixiankuinisuan
二尖瓣关闭不全	erjianbanguanbibuquan
二尖瓣成形术	erjianbanchengxingshu
二尖瓣狭窄	erjianbanxiazhai
二尖瓣球囊扩张术	erjianbanqiunangkuozhangshu
二尖瓣置换术	erjianbanzhihuanshu
二尖瓣脱垂	erjianbantuochui
二尖瓣返流	erjianbanfanliu
二巯丁二酸	erqiudingersuan
二巯丙磺钠注射液	erqiubinghuangnazhusheye
二巯基丙磺酸钠	erqiujibinghuangsuanna
二异丙胺	eryibingan
二异氰酸甲苯酯	eryiqingsuanjiabenzhi
二期梅毒	erqimeidu
二期缝合	erqifenghe
二次感染	erciganran
二次结构	ercijiegou
二母宁嗽丸	ermuningsouwan
二母宁嗽片	ermuningsoupian
二母清肺丸	ermuqingfeiwan
二氢埃托啡	erqingaituofei
二氢睾酮	erqinggaotong
二氧丙嗪	eryangbingqin
二氧化硫中毒	eryanghualiuzhongdu
二氧化碳中毒	eryanghuatanzhongdu
二氧化碳激光器	eryanghuatanjiguangqi
二氧化碳激光治疗	eryanghuatanjiguangzhiliao
二氧化碳麻醉	eryanghuatanmazui
二氮嗪	erdanqin
二氮嗪注射液	erdanqinzhusheye
二氯乙烷中毒	erlvyiwanzhongdu
二氯二氟甲烷	erlverfujiawan
二氯异氰尿酸钠	erlvyiqingniaosuanna
二氯苯氧乙酸	erlvbenyangyisuan
二溴氯丙烷	erxiulvbingwan
二漏	erlou
二甲双胍	erjiashuanggua
二甲双胍缓释片	erjiashuangguahuanshipian
二甲基乙酰胺	erjiajiyixianan
二甲硅油	erjiaguiyou
二甲硅油乳剂	erjiaguiyouruji
二甲硅油气雾剂	erjiaguiyouqiwuji
二甲硅油片	erjiaguiyoupian
二甲磺酸阿米三嗪	erjiahuangsuanamisanqin
二甲苯中毒	erjiabenzhongdu
二白	erbai
二硫化硒	erliuhuaxi
二硫苏糖醇	erliusutangchun
二磷酸果糖	erlinsuanguotang
二级医院	erjiyiyuan
二级预防	erjiyufang
二羟基丙酮	erqiangjibingtong
二羟苯甲酸	erqiangbenjiasuan
二至丸	erzhiwan
二苯乙烯	erbenyixi
二苯甲酮	erbenjiatong
二苯胺	erbenan
二龙喉公园	erlonghougongyuan
云南白药创可贴	yunnanbaiyaochuangketie
云南白药片	yunnanbaiyaopian
云南白药胶囊	yunnanbaiyaojiaonang
云南白药膏	yunnanbaiyaogao
云南白药酊	yunnanbaiyaoding
云母尘肺	yunmuchenfei
云芝糖肽	yunzhitangtai
云芝胞内糖肽	yunzhibaoneitangtai
云芝胞内糖肽胶囊	yunzhibaoneitangtaijiaonang
云芝菌胶囊	yunzhijunjiaonang
云门穴	yunmenxue
五仁丸	wurenwan
五仁润肠丸	wurenrunchangwan
五加参归芪精	wujiacanguiqijing
五加皮酒	wujiapijiu
五味子丸	wuweiziwan
五味子乙素	wuweiziyisu
五味子糖浆	wuweizitangjiang
五味子颗粒	wuweizikeli
五味安神颗粒	wuweianshenkeli
五味沙棘散	wuweishajisan
五味消毒饮	wuweixiaoduyin
五味黄连丸	wuweihuanglianwan
五子衍宗丸	wuziyanzongwan
五官科学	wuguankexue
五心烦热	wuxinfanre
五更太平丸	wugengtaipingwan
五更泄泻	wugengxiexie
五氟利多	wufuliduo
五氟利多片	wufuliduopian
五氯酚	wulvfen
五海瘿瘤丸	wuhaiyingliuwan
五灵肝复胶囊	wulingganfujiaonang
五皮饮	wupiyin
五维赖氨酸片	wuweilaiansuanpian
五肽胃泌素	wutaiweimisu
五苓胶囊	wulingjiaonang
五藏	wucang
五行相生相克	wuxingxiangshengxiangke
亚单位疫苗	yadanweiyimiao
亚叶酸钙	yayesuangai
亚属	yashu
亚急性甲状腺炎	yajixingjiazhuangxianyan
亚成虫	yachengchong
亚族	yazu
亚油酸甲酯	yayousuanjiazhi
亚界	yajie
亚硒酸钠	yaxisuanna
亚硝酸异戊酯	yaxiaosuanyiwuzhi
亚硝酸盐中毒	yaxiaosuanyanzhongdu
亚硝酸钠注射液	yaxiaosuannazhusheye
亚硫酸氢钠甲萘醌	yaliusuanqingnajianaikun
亚类	yalei
亚胺培南	yaanpeinan
亚高山带	yagaoshandai
亡阳证	wangyangzheng
交信	jiaoxin
交叉免疫	jiaochamianyi
交叉耐受	jiaochanaishou
交叉配血试验	jiaochapeixueshiyan
交感性眼炎	jiaoganxingyanyan
交感神经型颈椎病	jiaoganshenjingxingjingchuibing
交感神经系统	jiaoganshenjingxitong
交沙霉素片	jiaoshameisupian
交界痣	jiaojiezhi
交界瘤	jiaojieliu
交通心肾	jiaotongxinshen
产伤	chanshang
产前子痫	chanqianzixian
产后子宫复旧不全	chanhouzigongfujiubuquan
产后甲状腺炎	chanhoujiazhuangxianyan
产后精神病	chanhoujingshenbing
产宝	chanbao
产程延长	chanchengyanchang
产褥期感染	chanruqiganran
亨特氏综合征	hengteshizonghezheng
京万红	jingwanhong
京万红软膏	jingwanhongruangao
京制牛黄解毒片	jingzhiniuhuangjiedupian
京必舒新	jingbishuxin
京都念慈庵	jingduniancian
京门穴	jingmenxue
亮丙瑞林	liangbingruilin
亮嗓胖大海清咽糖	liangsangpangdahaiqingyantang
亮甲	liangjia
亮菌甲素注射液	liangjunjiasuzhusheye
亲社会行为	qinshehuixingwei
亲缘关系	qinyuanguanxi
人中穴	renzhongxue
人为灾害	renweizaihai
人乳头瘤病毒	renrutouliubingdu
人体寄生虫学	rentijishengchongxue
人体形态学	rentixingtaixue
人体曲线	rentiquxian
人体病理学	rentibinglixue
人体结构学	rentijiegouxue
人体解剖	rentijiepou
人体解剖生理学	rentijiepoushenglixue
人体黄金分割	rentihuangjinfenge
人免疫球蛋白	renmianyiqiudanbai
人凝血酶原复合物	renningxuemeiyuanfuhewu
人参健脾丸	renshenjianpiwan
人参养荣丸	renshenyangrongwan
人参养荣汤	renshenyangrongtang
人参再造丸	renshenzaizaowan
人参口服液	renshenkoufuye
人参叶	renshenye
人参固本丸	renshengubenwan
人参多糖注射液	renshenduotangzhusheye
人参天麻药酒	renshentianmayaojiu
人参归脾丸	renshenguipiwan
人参皂苷	renshenzaogan
人参胡桃汤	renshenhutaotang
人参芦头	renshenlutou
人参茎叶皂苷	renshenjingyezaogan
人参药酒	renshenyaojiu
人参蛤蚧散	renshengejiesan
人参蜂王浆	renshenfengwangjiang
人参袋泡茶	renshendaipaocha
人参首乌胶囊	renshenshouwujiaonang
人字缝	renzifeng
人工剥离胎盘术	rengongbolitaipanshu
人工喉	rengonghou
人工晶体	rengongjingti
人工晶体植入术	rengongjingtizhirushu
人工概念	rengonggainian
人工泪液	rengongleiye
人工牛黄	rengongniuhuang
人工牛黄甲硝唑	rengongniuhuangjiaxiaozuo
人工瓣膜	rengongbanmo
人工皮	rengongpi
人工皮炎	rengongpiyan
人工破膜	rengongpomo
人工破膜术	rengongpomoshu
人工种子	rengongzhongzi
人工股骨头置换术	rengonggugutouzhihuanshu
人工肺	rengongfei
人工血管	rengongxueguan
人工阴茎	rengongyinjing
人工阴道	rengongyindao
人工骨	rengonggu
人工髋关节	rengongkuanguanjie
人工麝香	rengongshexiang
人工鼻	rengongbi
人格心理学	rengexinlixue
人民医院	renminyiyuan
