# 泰深输入法专业词库 — 汽车
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一二档	yierdang
中间板	zhongjianban
中间轴常啮合齿轮	zhongjianzhouchangniehechilun
中高级车	zhonggaojiche
丰田兰德酷路泽	fengtianlandekuluze
丰田喜一郎	fengtianxiyilang
丰田普瑞维亚	fengtianpuruiweiya
丰田智慧	fengtianzhihui
丰田锡耶纳	fengtianxiyena
丰田陆地巡洋舰	fengtianludixunyangjian
串联式制动总泵	chuanlianshizhidongzongbeng
主从动	zhucongdong
主动分频	zhudongfenpin
主动式安全头枕	zhudongshianquantouzhen
乐车网	lechewang
乐风	lefeng
乐骋	lecheng
乔丹车队	qiaodanchedui
乘员头颈保护系统	chengyuantoujingbaohuxitong
乙酸丁酸纤维素	yisuandingsuanxianweisu
乱穿马路	luanchuanmalu
事故维修	shiguweixiu
二手汽车按揭贷款	ershouqicheanjiedaikuan
二手车寄卖	ershouchejimai
二手车鉴定评估师	ershouchejiandingpinggushi
二行程循环引擎	erxingchengxunhuanyinqing
五菱荣光	wulingrongguang
亚尔帕	yaerpa
亚星客车	yaxingkeche
交通安全产品	jiaotonganquanchanpin
交通强制险	jiaotongqiangzhixian
京城海狮	jingchenghaishi
人车合影	rencheheying
从动圆柱齿	congdongyuanzhuchi
从动圆柱齿轮	congdongyuanzhuchilun
从动盘总成	congdongpanzongcheng
从动轮	congdonglun
付钢板	fugangban
仪表台	yibiaotai
仪表台总成	yibiaotaizongcheng
仪表指示灯	yibiaozhishideng
仪表灯	yibiaodeng
仪表灯泡	yibiaodengpao
仿桃木	fangtaomu
伊兰特悦动	yilanteyuedong
伏尔加车	fuerjiache
休闲车	xiuxianche
优卡二手车网	youkaershouchewang
优科豪马轮胎	youkehaomaluntai
传动轴凸缘	chuandongzhoutuyuan
伯诺赛道	bonuosaidao
低扭	diniu
体检回执	tijianhuizhi
佛轮尔	fuluner
供油提前器	gongyoutiqianqi
依卡露斯	yikalusi
依维柯宝迪	yiweikebaodi
侦探犬	zhentanquan
侧围	cewei
侧围板	ceweiban
侧滑试验台	cehuashiyantai
侧窗玻璃	cechuangboli
侧转向灯	cezhuanxiangdeng
便携油箱	bianxieyouxiang
保养券	baoyangquan
保时捷新卡宴	baoshijiexinkayan
保温冒口	baowenmaokou
保温炉	baowenlu
保温隔热材料	baowengerecailiao
保险夹	baoxianjia
保险杠支架	baoxiangangzhijia
保险杠格栅	baoxianganggezha
保险盒盖	baoxianhegai
保险继电器	baoxianjidianqi
保险阀	baoxianfa
信号喇叭	xinhaolaba
倒模	daomo
倒车灯开关	daochedengkaiguan
倒车视频影像	daocheshipinyingxiang
偏心轴位置传感器	pianxinzhouweizhichuanganqi
储液瓶	chuyeping
储液罐	chuyeguan
儿童乘车安全	ertongchengcheanquan
充电卡子	chongdianqiazi
克莱斯勒交叉火力	kelaisileijiaochahuoli
克莱斯勒大捷龙	kelaisileidajielong
克莱斯勒指挥官	kelaisileizhihuiguan
全保	quanbao
全天候空调系统	quantianhoukongtiaoxitong
全息座舱	quanxizuocang
全承载车身	quanchengzaicheshen
全时数字轿车	quanshishuzijiaoche
全球鹰	quanqiuying
全车垫	quanchedian
全车盗抢损失险	quanchedaoqiangsunshixian
全车膜	quanchemo
全车锁芯	quanchesuoxin
全车隔音	quanchegeyin
全铝车身框架结构	quanlvcheshenkuangjiajiegou
全面安全防护	quanmiananquanfanghu
全频喇叭	quanpinlaba
公路客运	gonglukeyun
公路客运售票	gonglukeyunshoupiao
公铁两用车	gongtieliangyongche
六角厚螺母	liujiaohouluomu
六角法兰面	liujiaofalanmian
六角法兰面螺栓	liujiaofalanmianluoshuan
六角法兰面螺母	liujiaofalanmianluomu
六角锁紧螺母	liujiaosuojinluomu
兰德酷路泽	landekuluze
内后视镜	neihoushijing
内室镜	neishijing
内温度传感器	neiwenduchuanganqi
内部短路	neibuduanlu
内饰材料	neishicailiao
内骨架	neigujia
冈比亚红	gangbiyahong
冈谷钢机	ganggugangji
冒险鸭	maoxianya
农用汽车	nongyongqiche
冲焊桥	chonghanqiao
冷媒管	lengmeiguan
冷补胶	lengbujiao
冷车起动	lengcheqidong
减磨垫片	jianmodianpian
凯立德地图	kailideditu
凯越前挡玻璃	kaiyueqiandangboli
凯雷德混合动力	kaileidehunhedongli
凸缘叉	tuyuancha
凸轮轴位置感知器	tulunzhouweizhiganzhiqi
出炉口	chulukou
出炉温度	chuluwendu
分火头	fenhuotou
分电器盖	fendianqigai
分电机	fendianji
分电盘盖	fendianpangai
分离轴承卡簧	fenlizhouchengkahuang
分缸线	fengangxian
分隔式燃烧室	fengeshiranshaoshi
分频点	fenpindian
初生石墨	chushengshimo
利欧	liou
别克凯越	biekekaiyue
别克凯越旅行车	biekekaiyuelvxingche
别克新君威	biekexinjunwei
别克高尔夫挑战赛	biekegaoerfutiaozhansai
刮臂	guabi
制动分泵	zhidongfenbeng
制动底板	zhidongdiban
制动摩擦片	zhidongmocapian
制动检验台	zhidongjianyantai
制动灯	zhidongdeng
制动灯开关	zhidongdengkaiguan
制动灯开关总成	zhidongdengkaiguanzongcheng
制动硬管	zhidongyingguan
制动管路	zhidongguanlu
制动调整臂	zhidongtiaozhengbi
制动踏板总成	zhidongtabanzongcheng
制动钳	zhidongqian
制动鼓后	zhidongguhou
刹车钳	shacheqian
前下导向臂	qianxiadaoxiangbi
前保	qianbao
前保险杆	qianbaoxiangan
前保险杠下护板	qianbaoxiangangxiahuban
前保险杠下部	qianbaoxiangangxiabu
前保险杠面板	qianbaoxiangangmianban
前保险杠骨架	qianbaoxianganggujia
前分泵	qianfenbeng
前制动	qianzhidong
前制动分室	qianzhidongfenshi
前制动摩擦片	qianzhidongmocapian
前制动臂	qianzhidongbi
前制动蹄支销	qianzhidongtizhixiao
前制动钳	qianzhidongqian
前刹车分泵	qianshachefenbeng
前刹车分泵支架	qianshachefenbengzhijia
前半轴	qianbanzhou
前叶子板	qianyeziban
前后保险杠	qianhoubaoxiangang
前围	qianwei
前围板	qianweiban
前围线束	qianweixianshu
前大灯总成	qiandadengzongcheng
前小灯	qianxiaodeng
前座中央扶手	qianzuozhongyangfushou
前挡膜	qiandangmo
前挡风玻璃	qiandangfengboli
前排侧气囊	qianpaiceqinang
前杠骨架	qianganggujia
前格栅	qiangezha
前止点	qianzhidian
前烟灰缸	qianyanhuigang
前照灯	qianzhaodeng
前牌照架	qianpaizhaojia
前盖板	qiangaiban
前罩壳	qianzhaoke
前置发动机	qianzhifadongji
前转向灯	qianzhuanxiangdeng
前轮定位	qianlundingwei
前轮眉	qianlunmei
前轮鼓	qianlungu
前部受损	qianbushousun
前钢板	qiangangban
前钢板前支架	qiangangbanqianzhijia
前钢板后支架	qiangangbanhouzhijia
前钢板弹簧	qiangangbantanhuang
前门框	qianmenkuang
前门玻璃	qianmenboli
前门脚踏	qianmenjiaota
前阅读灯	qianyuedudeng
前风挡	qianfengdang
前风挡玻璃	qianfengdangboli
前风窗	qianfengchuang
前风窗玻璃	qianfengchuangboli
副仪表	fuyibiao
副驾驶位气囊	fujiashiweiqinang
功能关闭	gongnengguanbi
加强底板	jiaqiangdiban
加注口	jiazhukou
动力转向	donglizhuanxiang
动力转向油罐总成	donglizhuanxiangyouguanzongcheng
动力转向泵	donglizhuanxiangbeng
助力泵开关	zhulibengkaiguan
助力转向调节	zhulizhuanxiangtiaojie
勒芒耐力赛	leimangnailisai
勒芒赛道	leimangsaidao
北京奔驰戴克	beijingbenchidaike
北京奔驰铂锐	beijingbenchiborui
北京现代	beijingxiandai
北极星发动机	beijixingfadongji
北汽控股	beiqikonggu
北汽控股公司	beiqikonggugongsi
北汽角斗士	beiqijuedoushi
北美之鹰	beimeizhiying
北美之鹰号	beimeizhiyinghao
十字槽	shizicao
十字节	shizijie
半圆键	banyuanjian
半自动变速器	banzidongbiansuqi
半轴突缘	banzhoutuyuan
半轴齿轮垫	banzhouchilundian
华夏二手车	huaxiaershouche
华晨中华	huachenzhonghua
华翔富奇	huaxiangfuqi
南京菲亚特西耶那	nanjingfeiyatexiyena
南京跃进	nanjingyuejin
博世蜗牛喇叭	boshiwoniulaba
卡亚克	kayake
卡特汉姆	katehanmu
卡通摩托	katongmotuo
卤素头灯	lusutoudeng
印地方程式赛	yindifangchengshisai
印地车赛	yindichesai
印第安纳赛道	yindiannasaidao
危险报警闪光灯	weixianbaojingshanguangdeng
危险货物运输	weixianhuowuyunshu
压缩行程	yasuoxingcheng
厦门金龙汽车	xiamenjinlongqiche
叉车用	chacheyong
双摇臂悬架	shuangyaobixuanjia
双离合变速器	shuanglihebiansuqi
双面胶带	shuangmianjiaodai
双龙主席	shuanglongzhuxi
发动机下护板	fadongjixiahuban
发动机下挡板	fadongjixiadangban
发动机专用机油	fadongjizhuanyongjiyou
发动机托架	fadongjituojia
发动机控制单元	fadongjikongzhidanyuan
发动机漏油	fadongjilouyou
发动机烧机油	fadongjishaojiyou
发动机缺缸	fadongjiquegang
发动机转速	fadongjizhuansu
变扭器	bianniuqi
变扭器切割设备	bianniuqiqiegeshebei
变扭器维修设备	bianniuqiweixiushebei
变速器结构原理	biansuqijiegouyuanli
变速箱一轴	biansuxiangyizhou
变速箱一轴油封	biansuxiangyizhouyoufeng
变速箱前油封	biansuxiangqianyoufeng
变速箱开关	biansuxiangkaiguan
变速箱第一轴	biansuxiangdiyizhou
口奇骏	kouqijun
古德伍德赛车节	gudewudesaichejie
右下边梁	youxiabianliang
右侧围	youcewei
右侧杂物盒	youcezawuhe
右侧窗玻璃	youcechuangboli
右保险杠	youbaoxiangang
右前叶	youqianye
右前叶子板	youqianyeziban
右前叶子板内衬	youqianyezibanneichen
右前小灯	youqianxiaodeng
右前翼子板	youqianyiziban
右前车门玻璃	youqianchemenboli
右前转向灯	youqianzhuanxiangdeng
右前轮眉	youqianlunmei
右前门玻璃	youqianmenboli
右半轴	youbanzhou
右反光镜	youfanguangjing
右后侧围	youhoucewei
右后叶	youhouye
右后叶子板	youhouyeziban
右后尾灯	youhouweideng
右后挡泥板	youhoudangniban
右后翼子板	youhouyiziban
右后车门	youhouchemen
右后车门玻璃	youhouchemenboli
右后轮眉	youhoulunmei
右后部	youhoubu
右后门玻璃	youhoumenboli
右大灯	youdadeng
右扶手	youfushou
右护板	youhuban
右脚踏板	youjiaotaban
右角灯	youjiaodeng
右边条	youbiantiao
叶子板	yeziban
叶子板内衬	yezibanneichen
叶子板灯	yezibandeng
叶轮泵	yelunbeng
合成机油	hechengjiyou
吉利中国龙	jilizhongguolong
吉利优利欧	jiliyouliou
吉利熊猫	jilixiongmao
吉姆希	jimuxi
吉普大切诺基	jipudaqienuoji
吉普指挥官	jipuzhihuiguan
吉普爱国者	jipuaiguozhe
吉林汽车制动器厂	jilinqichezhidongqichang
吉里耶塔	jiliyeta
名车志	mingchezhi
名车背后的故事	mingchebeihoudegushi
后保险杆	houbaoxiangan
后保险杠面板	houbaoxiangangmianban
后分泵	houfenbeng
后制动	houzhidong
后制动摩擦片	houzhidongmocapian
后刹车分泵	houshachefenbeng
后台板	houtaiban
后叶子板	houyeziban
后围侧板	houweiceban
后备箱盖隔音	houbeixianggaigeyin
后尾灯支架	houweidengzhijia
后尾灯罩	houweidengzhao
后挡风玻璃	houdangfengboli
后排风出口	houpaifengchukou
后桥短轴	houqiaoduanzhou
后牌照板	houpaizhaoban
后牌照灯	houpaizhaodeng
后置发动机	houzhifadongji
后翼子板	houyiziban
后轮眉	houlunmei
后轮罩护板	houlunzhaohuban
后轮随动转向技术	houlunsuidongzhuanxiangjishu
后轮鼓	houlungu
后钢板弹簧	hougangbantanhuang
后钢板销	hougangbanxiao
后雾灯开关总成	houwudengkaiguanzongcheng
后风挡	houfengdang
后风挡玻璃	houfengdangboli
后风窗	houfengchuang
后饰板	houshiban
向心滚珠轴承	xiangxingunzhuzhoucheng
周申一	zhoushenyi
品牌二手车	pinpaiershouche
品牌汽车	pinpaiqiche
品车网	pinchewang
哈飞汽车路宝	hafeiqichelubao
哈飞路尊小霸王	hafeiluzunxiaobawang
唯雅诺	weiyanuo
喇叭按钮开关	labaanniukaiguan
喷油泵齿轮	penyoubengchilun
嘉华起亚	jiahuaqiya
嘉实多磁护	jiashiduocihu
嘉川汽车	jiachuanqiche
四冲程发动机	sichongchengfadongji
四冲程循环	sichongchengxunhuan
四川丰田	sichuanfengtian
四川现代	sichuanxiandai
四档同步器	sidangtongbuqi
四档齿	sidangchi
四窗	sichuang
四缸发动机	sigangfadongji
四缸机	sigangji
四行程引擎	sixingchengyinqing
四轮保养	silunbaoyang
四轮动平衡	silundongpingheng
四轮定位	silundingwei
四轮定位仪	silundingweiyi
四轮换位	silunhuanwei
四轮碟刹	silundiesha
回油滤芯	huiyoulvxin
团购看车	tuangoukanche
固铂	gubo
国际窗膜协会	guojichuangmoxiehui
国际驾驶执照	guojijiashizhizhao
圆柱销	yuanzhuxiao
圆柱齿轮壳	yuanzhuchilunke
圆锥主动齿轮轴承	yuanzhuizhudongchilunzhoucheng
圆锥滚子轴承	yuanzhuigunzizhoucheng
圆镜	yuanjing
圈状弹簧	quanzhuangtanhuang
地板压条	dibanyatiao
地板皮	dibanpi
地盘测功机	dipancegongji
城市精灵	chengshijingling
墨绿珍珠	molvzhenzhu
复仇女神	fuchounvshen
复合行星齿轮	fuhexingxingchilun
复合衬套	fuhechentao
夏茅汽车客运站	xiamaoqichekeyunzhan
多宁顿公园赛道	duoningdungongyuansaidao
多宝	duobao
多气门发动机	duoqimenfadongji
多路传输控制单元	duoluchuanshukongzhidanyuan
大众中国	dazhongzhongguo
大切诺基	daqienuoji
大包围	dabaowei
大型车展	daxingchezhan
大小瓦	daxiaowa
大尾翼	daweiyi
大灯保险杠	dadengbaoxiangang
大灯开关	dadengkaiguan
大灯框	dadengkuang
大灯灯泡	dadengdengpao
大灯高度可调	dadenggaodukediao
大贸手续	damaoshouxu
大陆汽车俱乐部	daluqichejulebu
大骨棒	dagubang
天河汽车站	tianheqichezhan
天津一汽	tianjinyiqi
天马英雄	tianmayingxiong
太空户	taikonghu
头部空间	toubukongjian
奇骏	qijun
奔驰车队	benchichedui
奥克兰汽车公司	aokelanqichegongsi
奥克斯汽车	aokesiqiche
奥布维	aobuwei
奥斯莫比	aosimobi
奥斯莫比尔	aosimobier
奥杰汽车网	aojieqichewang
奥迪勒芒	aodileimang
奥迪汽车公司	aodiqichegongsi
奥迪风洞中心	aodifengdongzhongxin
好词库	haociku
如虎	ruhu
威利斯吉普车	weilisijipuche
孔用弹性挡圈	kongyongtanxingdangquan
安全凸面镜	anquantumianjing
安全带固定	anquandaiguding
安全带提醒装置	anquandaitixingzhuangzhi
安全开关	anquankaiguan
安全气囊线束	anquanqinangxianshu
宏基汽车客运站	hongjiqichekeyunzhan
定损人员	dingsunrenyuan
定远试车场	dingyuanshichechang
实习司机	shixisiji
室盖	shigai
室盖垫	shigaidian
宾利欧陆	binlioulu
宿迁客运总站	suqiankeyunzongzhan
导购专题	daogouzhuanti
封闭货车	fengbihuoche
小型乘用车	xiaoxingchengyongche
小型冷藏车	xiaoxinglengcangche
小批量产品	xiaopiliangchanpin
小排量汽车	xiaopailiangqiche
小排量轿车	xiaopailiangjiaoche
小灯	xiaodeng
小贸手续	xiaomaoshouxu
小贸车	xiaomaoche
少林客车	shaolinkeche
尺寸不合格	chicunbuhege
尾气分析仪	weiqifenxiyi
尾灯支架	weidengzhijia
尾灯罩	weidengzhao
层焦	cengjiao
嵌条	qiantiao
川崎车队	chuanqichedui
川汽野马	chuanqiyema
工具与设备	gongjuyushebei
左侧窗玻璃	zuocechuangboli
左前分泵	zuoqianfenbeng
左前门内饰板	zuoqianmenneishiban
左前门玻璃升降器	zuoqianmenbolishengjiangqi
左右侧盖	zuoyoucegai
左右壳	zuoyouke
左右大灯	zuoyoudadeng
左后侧围	zuohoucewei
左后叶	zuohouye
左后叶子板	zuohouyeziban
左后翼子板	zuohouyiziban
左后轮眉	zuohoulunmei
左后门玻璃	zuohoumenboli
左后门玻璃升降器	zuohoumenbolishengjiangqi
差速器小齿轮	chasuqixiaochilun
差速器行星齿轮	chasuqixingxingchilun
巴林国际赛道	balinguojisaidao
巴林大奖赛	balindajiangsai
巴黎车展	balichezhan
布加迪威航	bujiadiweihang
帕克沃德	pakewode
帕杰罗召回事件	pajieluozhaohuishijian
帕诺兹	panuozi
带束斜交轮胎	daishuxiejiaoluntai
常见汽车品牌	changjianqichepinpai
干燥瓶	ganzaoping
平治房车	pingzhifangche
年度车	nianduche
幸福使者	xingfushizhe
广汽日野	guangqiriye
广角后视镜	guangjiaohoushijing
应急灯开关	yingjidengkaiguan
底盘隔音	dipangeyin
庞蒂亚克	pangdiyake
废气回收管	feiqihuishouguan
座椅加热	zuoyijiare
座椅及附件	zuoyijifujian
座椅调整器	zuoyitiaozhengqi
座椅靠背	zuoyikaobei
延边二手车网	yanbianershouchewang
弓子板	gongziban
引擎宝	yinqingbao
引擎波司	yinqingbosi
引擎盖覆膜	yinqinggaifumo
引擎盖隔音	yinqinggaigeyin
张家港汽车网	zhangjiagangqichewang
弹性挡圈	tanxingdangquan
弹性胶质材料	tanxingjiaozhicailiao
弹簧垫圈	tanhuangdianjuan
强制式曲轴箱通风	qiangzhishiquzhouxiangtongfeng
强制通风	qiangzhitongfeng
影音网	yingyinwang
彼得比尔特公司	bidebiertegongsi
得中国者得天下	dezhongguozhedetianxia
德国喜力士	deguoxilishi
德国曼集团	deguomanjituan
德国音响	deguoyinxiang
德米欧	demiou
必比登	bibideng
志翔	zhixiang
总成吊装设备	zongchengdiaozhuangshebei
恒温控制	hengwenkongzhi
恒温空调	hengwenkongtiao
悬挂衬套	xuanguachentao
惯性漂移	guanxingpiaoyi
感应塞	ganyingsai
感载比例阀	ganzaibilifa
慕尚	mushang
我试驾	woshijia
戴姆勒克莱斯勒	daimuleikelaisilei
手动变速箱	shoudongbiansuxiang
手动变速箱油	shoudongbiansuxiangyou
手动空调	shoudongkongtiao
手动豪华	shoudonghaohua
手工样品	shougongyangpin
手扣防划膜	shoukoufanghuamo
手拉葫芦	shoulahulu
手排挡	shoupaidang
手控阀	shoukongfa
手继动阀	shoujidongfa
手自一体汽车	shouziyitiqiche
打磨抛光设备	damopaoguangshebei
扣残	koucan
扭力支架	niulizhijia
扭力杆	niuligan
扭矩扳手	niujubanshou
抗磨液压油	kangmoyeyayou
护风圈	hufengquan
抹尘布	mochenbu
拖拽臂	tuozhuaibi
拖曳臂式	tuoyebishi
拖曳臂式悬架	tuoyebishixuanjia
拼装台	pinzhuangtai
挂不上档	guabushangdang
挂档机构	guadangjigou
挂档杆	guadanggan
挂车指示灯	guachezhishideng
挂车阀	guachefa
指南者	zhinanzhe
挡位指示器	dangweizhishiqi
挡圈	dangquan
挡风玻璃雨刮器	dangfengboliyuguaqi
换挡电磁阀	huandangdiancifa
换挡锁止电磁阀	huandangsuozhidiancifa
换气门导管	huanqimendaoguan
换气门座圈	huanqimenzuoquan
换防冻液	huanfangdongye
掀背式尾门	xianbeishiweimen
排挡杆	paidanggan
排放标准	paifangbiaozhun
排气制动	paiqizhidong
排气制动阀	paiqizhidongfa
排气管隔热板	paiqiguangereban
排气门大	paiqimenda
接车单	jiechedan
插入螺母	charuluomu
摇窗	yaochuang
摇臂总成	yaobizongcheng
摇臂轴	yaobizhou
摩托车维修工	motuocheweixiugong
摩托车配件	motuochepeijian
摩托车防晒垫	motuochefangshaidian
摩纳罗	monaluo
摩雷	molei
支持环	zhichihuan
改款车	gaikuanche
改舵车	gaiduoche
改装技术人员	gaizhuangjishurenyuan
改进剂	gaijinji
数字式万用电表	shuzishiwanyongdianbiao
整车及零部件	zhengchejilingbujian
斜拉杆	xielagan
斜背式轿车	xiebeishijiaoche
斯巴鲁傲虎	sibaluaohu
斯柯达欧雅	sikedaouya
斯科达明锐	sikedamingrui
新一代普力马	xinyidaipulima
新乐风	xinlefeng
新佳乐	xinjiale
新凯	xinkai
新凯越	xinkaiyue
新加坡赛道	xinjiaposaidao
新嘉年华	xinjianianhua
新嘉年华两厢	xinjianianhualiangxiang
新大地	xindadi
新奥德赛	xinaodesai
新旧件	xinjiujian
新爱丽舍	xinailishe
新福特嘉年华	xinfutejianianhua
新福达汽车	xinfudaqiche
新能源客车	xinnengyuankeche
新能源电动汽车	xinnengyuandiandongqiche
新能源车	xinnengyuanche
新车谍报	xinchediebao
新锋锐	xinfengrui
方向盘盖	fangxiangpangai
旁蒂克	pangdike
旅行房车	lvxingfangche
旅行轿车	lvxingjiaoche
旋转分流阀	xuanzhuanfenliufa
无敌改装网	wudigaizhuangwang
无盖加油系统	wugaijiayouxitong
无线遥控防盗锁	wuxianyaokongfangdaosuo
无钥匙	wuyaoshi
无钥匙启动	wuyaoshiqidong
无钥匙启动系统	wuyaoshiqidongxitong
日产公爵王	richangongjuewang
日产奇骏	richanqijun
日产尼桑	richannisang
日产平台	richanpingtai
日产逍客	richanxiaoke
日内瓦国际汽车展	rineiwaguojiqichezhan
日常维护费	richangweihufei
时规涨紧轮	shiguizhangjinlun
昌河铃木	changhelingmu
昌河铃木利亚纳	changhelingmuliyana
易熄火	yixihuo
普利茅斯汽车公司	pulimaosiqichegongsi
普瑞维亚	puruiweiya
普纳德	punade
智慧贷款	zhihuidaikuan
智能钥匙系统	zhinengyaoshixitong
暖胎圈	nuantaiquan
暖风开关	nuanfengkaiguan
暖风机出风口	nuanfengjichufengkou
暖风机总成	nuanfengjizongcheng
暖风电机	nuanfengdianji
暖风管	nuanfengguan
暖风胶管	nuanfengjiaoguan
暖风芯子	nuanfengxinzi
曙光挑战者	shuguangtiaozhanzhe
曲前油封	quqianyoufeng
曲轴位置	quzhouweizhi
曲轴位置传感器	quzhouweizhichuanganqi
曲轴位置感应器	quzhouweizhiganyingqi
曲轴位置感知器	quzhouweizhiganzhiqi
曲轴前	quzhouqian
曲轴前油封	quzhouqianyoufeng
曲轴止推片	quzhouzhituipian
曲轴磨床	quzhoumochuang
更换电瓶	genghuandianping
曼牡丹	manmudan
曼胡默尔集团	manhumoerjituan
最大爬坡度	zuidapapodu
最大爬坡角	zuidapapojiao
最小离地间隙	zuixiaolidijianxi
最小转弯直径	zuixiaozhuanwanzhijing
有倒车镜	youdaochejing
有效摩擦面积	youxiaomocamianji
有效热效率	youxiaorexiaolv
有效燃油消耗率	youxiaoranyouxiaohaolv
木炭汽车	mutanqiche
未报案	weibaoan
机动车移动证	jidongcheyidongzheng
机械变速箱	jixiebiansuxiang
机油乳化	jiyouruhua
机油冷却器芯	jiyoulengqueqixin
机油加注口盖	jiyoujiazhukougai
机油压力感应器	jiyouyaliganyingqi
机油感应塞	jiyouganyingsai
机油温度表	jiyouwendubiao
机滤芯	jilvxin
机爪	jizhao
机爪垫	jizhaodian
机盖撑杆	jigaichenggan
机盖铰链	jigaijiaolian
机脚胶	jijiaojiao
李斯特公司	lisitegongsi
来展厅	laizhanting
林肯城市	linkenchengshi
林肯轿车	linkenjiaoche
林肯领航员	linkenlinghangyuan
柯尼希塞尔	kenixisaier
柯尼希斯埃格	kenixisiaige
标准型弹簧垫圈	biaozhunxingtanhuangdianjuan
标志灯具	biaozhidengju
标的车	biaodiche
样版车	yangbanche
格兰披治大奖赛	gelanpizhidajiangsai
格兰披治大赛	gelanpizhidasai
格栅保险杠	gezhabaoxiangang
格雷姆林	geleimulin
格雷那达	geleinada
桃木饰件	taomushijian
桑塔纳志俊	sangtanazhijun
档位杆	dangweigan
档拔叉	dangbacha
桥厂	qiaochang
梅塞得斯奔驰	meisaidesibenchi
梅格纳斯特耶	meigenasiteye
梦迪博朗	mengdibolang
检查发动机	jianchafadongji
植草喷播车	zhicaopenboche
楔形销	xiexingxiao
横摆力偶矩	hengbailiouju
横滑	henghua
橡胶保护帽	xiangjiaobaohumao
欧亚车业	ouyacheye
欧宝欧捷利	oubaooujieli
欧洲纽博格林赛道	ouzhouniubogelinsaidao
欧菲莱斯	oufeilaisi
欧迪玛	oudima
止动板	zhidongban
止推垫	zhituidian
止推垫片	zhituidianpian
正时皮带涨紧轮	zhengshipidaizhangjinlun
残留应力	canliuyingli
残留强度	canliuqiangdu
残缺类缺陷	canqueleiquexian
每缸气门数	meigangqimenshu
比亚迪秦	biyadiqin
比亚迪集团	biyadijituan
毛线法拉利	maoxianfalali
气囊传感器	qinangchuanganqi
气囊控制单元	qinangkongzhidanyuan
气囊灯	qinangdeng
气囊电脑	qinangdiannao
气囊电脑板	qinangdiannaoban
气缸盖垫片	qiganggaidianpian
气路控制阀	qilukongzhifa
气门室垫	qimenshidian
