# taishenIME domain — sport
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
舞蹈理论	wudaolilun
班迪球	bandiqiu
石雕球	shidiaoqiu
捕逸	buyi
阿瑞娜	aruina
球迷骚乱	qiumisaoluan
卢西诺	luxinuo
被安打率	beiandalv
舞谱	wupu
蓋爾式手球	gaiershishouqiu
羽根突	yugentu
赛艇	saiting
黃兆維	huangzhaowei
赵真美	zhaozhenmei
子彈球	zidanqiu
李秋霞	liqiuxia
亞瑟士	yaseshi
陳金獅	chenjinshi
沉量级	chenliangji
板棍球	bangunqiu
充氣床墊	chongqichuangdian
籃球術語	lanqiushuyu
陆广红	luguanghong
勝利體育事業	shenglitiyushiye
熱身運動	reshenyundong
黑哨	heishao
楊清瓏	yangqinglong
楊班侯	yangbanhou
陳燦林	chencanlin
乐天堂	letiantang
球衣號碼	qiuyihaoma
自由球員	ziyouqiuyuan
李宁有限公司	liningyouxiangongsi
代打	daida
馬拉度納教	maladunajiao
便携式燃具	bianxieshiranju
背媳妇比赛	beixifubisai
職業壁球協會	zhiyebiqiuxiehui
皮划艇	pihuating
肌肉收缩	jiroushousuo
登山條	dengshantiao
配鬪球	peidouqiu
包厢	baoxiang
残疾人体育	canjirentiyu
河南戰狼隊	henanzhanlangdui
掰脚趾腕	baijiaozhiwan
泰恩威爾德比	taienweierdebi
曾偉恩	cengweien
常壓潛水服	changyaqianshuifu
控球前锋	kongqiuqianfeng
自由式小轮车	ziyoushixiaolunche
刁時	diaoshi
步法	bufa
二甲太祖拳	erjiataizuquan
足球比赛	zuqiubisai
街頭爵士舞	jietoujueshiwu
健乐士	jianleshi
後援投手	houyuantoushou
加油布蘭登	jiayoubulandeng
擂台	leitai
王占海	wangzhanhai
公路越野赛	gongluyueyesai
奥林匹克奖杯	aolinpikejiangbei
王景成	wangjingcheng
电动滑板车	diandonghuabanche
飛球型投手	feiqiuxingtoushou
盲人柔道	mangrenroudao
足球職業化	zuqiuzhiyehua
大河之舞	dahezhiwu
計時賽	jishisai
巴西柔术	baxiroushu
蓋爾式運動	gaiershiyundong
大奖赛	dajiangsai
莫德斯托樫果	modesituojianguo
地板冰壺	dibanbinghu
加壓艙	jiayacang
悬挂式滑翔	xuanguashihuaxiang
护目镜	humujing
方秝錞	fanglichun
竞速	jingsu
特步國際	tebuguoji
打擊率	dajilv
陳寶貝	chenbaobei
有氧运动	youyangyundong
法國踢腿術	faguotituishu
第四届超级碗	disijiechaojiwan
斧	fu
戶外電影院	huwaidianyingyuan
內野	neiye
莊友良	zhuangyouliang
隊長	duizhang
第八届超级碗	dibajiechaojiwan
加泰罗尼亚杯	jiatailuoniyabei
黑森足球协会	heisenzuqiuxiehui
莊則棟	zhuangzedong
陳柏諺	chenbaiyan
擒拿术	qinnashu
奥林匹克勋章	aolinpikexunzhang
林詩嘉	linshijia
中国排球协会	zhongguopaiqiuxiehui
溜溜球	liuliuqiu
輕艇水球	qingtingshuiqiu
黃建超	huangjianchao
印度体育局	yindutiyuju
武術	wushu
三屈	sanqu
楊英瀚	yangyinghan
高山滑雪	gaoshanhuaxue
马球	maqiu
跳崖	tiaoya
人浪	renlang
月球漫步	yueqiumanbu
骑行服	qixingfu
國際輕艇總會	guojiqingtingzonghui
无氧运动	wuyangyundong
后轮骑	houlunqi
黃韻文	huangyunwen
上海金鷹隊	shanghaijinyingdui
低空跳伞	dikongtiaosan
驅逐出場	quzhuchuchang
添柏岚	tianbailan
滑冰場	huabingchang
体育赌博	tiyudubo
陈静	chenjing
賽馬教育	saimajiaoyu
扁椭球体	biantuoqiuti
廖靜賢	liaojingxian
印度式摔角	yindushishuaijiao
林根基	lingenji
潛水鐘	qianshuizhong
體育場	tiyuchang
迈塔	maita
擲棒	zhibang
足式高爾夫	zushigaoerfu
运动教练	yundongjiaolian
雅科	yake
第九届超级碗	dijiujiechaojiwan
罚球区	faqiuqu
残疾人冰球	canjirenbingqiu
陳致遠	chenzhiyuan
中国马术协会	zhongguomashuxiehui
連勝	liansheng
维修区	weixiuqu
水肺装备	shuifeizhuangbei
渥太華復仇者	wotaihuafuchouzhe
胡銘福	humingfu
臼井儀人	jiujingyiren
滑轮曲棍球	hualunqugunqiu
瑜伽褲	yugaku
肥厚型心肌病	feihouxingxinjibing
球員兼教練	qiuyuanjianjiaolian
桌上舞	zhuoshangwu
旅行自行车	lvxingzixingche
強迫取分	qiangpoqufen
中量级	zhongliangji
蘇菲	sufei
三壘手	sanleishou
趙幼斌	zhaoyoubin
果岭	guoling
應援歌	yingyuange
外接員	waijieyuan
盤球	panqiu
循環制	xunhuanzhi
岳连娥	yueliane
折疊刀	zhediedao
艺术体操	yishuticao
迪桑特	disangte
冰帆	bingfan
田徑縮寫	tianjingsuoxie
萬星威	wanxingwei
鬥牛場	douniuchang
柔力球	rouliqiu
泊巴士	pobashi
冰蹴球	bingcuqiu
奈史密斯杯	naishimisibei
第十届超级碗	dishijiechaojiwan
柳蓓莉	liubeili
红色流浪者	hongseliulangzhe
體育運動列表	tiyuyundongliebiao
統一二軍	tongyierjun
卡尔美	kaermei
垃圾時間	lajishijian
射门	shemen
懸掛帳篷	xuanguazhangpeng
泳裝史	yongzhuangshi
曾曉彤	cengxiaotong
韩真	hanzhen
球拍	qiupai
沙灘巧固球	shatanqiaoguqiu
二次運球	erciyunqiu
巧固球	qiaoguqiu
捕手	bushou
帕拉冬季兩項	paladongjiliangxiang
壓哨球	yashaoqiu
美國足球協會	meiguozuqiuxiehui
國家體育隊	guojiatiyudui
滑雪	huaxue
獻給你的徽章	xiangeinidehuizhang
防守	fangshou
骑车	qiche
超雏量级	chaochuliangji
梨球	liqiu
馬拉博運動場	malaboyundongchang
高爾夫詞彙	gaoerfucihui
行司	xingsi
凱爾體育場	kaiertiyuchang
室內田徑	shineitianjing
裴吉洙	peijizhu
殺無赦	shawushe
石川雅實	shichuanyashi
体育社会学	tiyushehuixue
沙丘競技場	shaqiujingjichang
共享滑板车	gongxianghuabanche
內鋒	neifeng
工装裤	gongzhuangku
纵跳	zongtiao
邵氏兄弟控股	shaoshixiongdikonggu
死亡之組	siwangzhizu
全倒	quandao
雪车	xueche
曾馨瑩	cengxinying
立定跳远	lidingtiaoyuan
黄义助	huangyizhu
鄉村西部舞	xiangcunxibuwu
健走運動	jianzouyundong
法式滾球	fashigunqiu
溫宏康	wenhongkang
侵人犯規	qinrenfangui
達陣	dazhen
唐盼盼	tangpanpan
團隊運動	tuanduiyundong
岩钉	yanding
飛刀	feidao
十項全能	shixiangquanneng
踢拳	tiquan
廣州康威	guangzhoukangwei
水上救生	shuishangjiusheng
泳衣	yongyi
克魯斯堡魔咒	kelusibaomozhou
謝沐昕	xiemuxin
暴投	baotou
北京足球队	beijingzuqiudui
拳擊道	quanjidao
愛迪達	aidida
瑞典體育	ruidiantiyu
羽球	yuqiu
武館	wuguan
日營	riying
職業摔角畫報	zhiyeshuaijiaohuabao
中国龙舟协会	zhongguolongzhouxiehui
睡袋	shuidai
羊角島競技場	yangjiaodaojingjichang
五一九事件	wuyijiushijian
跳台滑雪	tiaotaihuaxue
單輪車曲棍球	danlunchequgunqiu
肥大	feida
冰镐	binggao
俄式挺身	eshitingshen
共享徑	gongxiangjing
複合弓	fuhegong
代訓紅	daixunhong
乔云萍	qiaoyunping
板球术语列表	banqiushuyuliebiao
差點	chadian
阿尔贝一世	aerbeiyishi
赤色体育国际	chisetiyuguoji
陳清水	chenqingshui
宝安体育馆	baoantiyuguan
美津濃	meijinnong
蘇榮村	surongcun
蕭華	xiaohua
陈海云	chenhaiyun
法頓公園球場	fadungongyuanqiuchang
篮球	lanqiu
跑壘員	paoleiyuan
多用途體育場	duoyongtutiyuchang
西比爾冰球館	xibierbingqiuguan
轮椅竞速	lunyijingsu
博西球	boxiqiu
黑人扭擺舞	heirenniubaiwu
乐途	letu
無安打比賽	wuandabisai
鄉村俱樂部	xiangcunjulebu
國際劍道聯盟	guojijiandaolianmeng
舞工廠舞團	wugongchangwutuan
泳鏡	yongjing
美国竞技联盟	meiguojingjilianmeng
國術	guoshu
競技體育	jingjitiyu
田径	tianjing
開山刀	kaishandao
半截篮	banjielan
炕窯	kangyao
全明星	quanmingxing
自由体操	ziyouticao
足球俱乐部	zuqiujulebu
外野	waiye
后仰投篮	houyangtoulan
奖忠体育馆	jiangzhongtiyuguan
蝇量级	yingliangji
雷锋体育场	leifengtiyuchang
水原棒球場	shuiyuanbangqiuchang
聖西路球場	shengxiluqiuchang
豪尔体育场	haoertiyuchang
朱武英	zhuwuying
李昱諄	liyuzhun
硬拉	yingla
不君子行為	bujunzixingwei
飛鼠裝滑翔	feishuzhuanghuaxiang
西部山区联盟	xibushanqulianmeng
何剑平	hejianping
综合格斗	zonghegedou
太空球	taikongqiu
李成姬	lichengji
體育會	tiyuhui
克倫特羅	kelunteluo
史路普帆船	shilupufanchuan
蓋爾運動協會	gaieryundongxiehui
氣壓性牙痛	qiyaxingyatong
起步槍	qibuqiang
單車球	dancheqiu
孫叔容	sunshurong
熊蜂	xiongfeng
国际棋联称号	guojiqilianchenghao
催孝京	cuixiaojing
钢铁城体育场	gangtiechengtiyuchang
盜壘成功率	daoleichenggonglv
喬山健康科技	qiaoshanjiankangkeji
賴達官	laidaguan
三上三下	sanshangsanxia
跑步俱乐部	paobujulebu
智力运动	zhiliyundong
沙灘籃球	shatanlanqiu
爬樹	pashu
女子拳击	nvziquanji
緬甸拳	miandianquan
空中瑜珈	kongzhongyujia
超轻型飞机	chaoqingxingfeiji
滑火山	huahuoshan
血液動力學	xueyedonglixue
禧玛诺	ximanuo
运动生理学	yundongshenglixue
澤信菲臣	zexinfeichen
雪豹体育馆	xuebaotiyuguan
艾高	aigao
加蓬足球協會	jiapengzuqiuxiehui
聯賽系統	liansaixitong
棒球帽	bangqiumao
希姆基球場	ximujiqiuchang
英聯邦運動會	yinglianbangyundonghui
街車	jieche
胜率	shenglv
科佩體育場	kepeitiyuchang
現代五項	xiandaiwuxiang
何盡平	hejinping
日舞	riwu
金紫薇	jinziwei
大东联盟	dadonglianmeng
陳功亮	chengongliang
跑道	paodao
高捷	gaojie
跛子拳	boziquan
射火雞	shehuoji
脑保健舞	naobaojianwu
三角泳褲	sanjiaoyongku
李玲蔚	lilingwei
盖帽	gaimao
王芝龍	wangzhilong
曲棍球棍	qugunqiugun
橄欖球	ganlanqiu
中国台球协会	zhongguotaiqiuxiehui
文部科學省	wenbukexuesheng
港鐵競步賽	gangtiejingbusai
川崎亞沙美	chuanqiyashamei
种子	zhongzi
技術犯規	jishufangui
健球	jianqiu
複式躲避球	fushiduobiqiu
两分转换	liangfenzhuanhuan
双向合同	shuangxianghetong
试胆	shidan
三星活力路跑	sanxinghuolilupao
足球鞋	zuqiuxie
帕凡舞	pafanwu
林通宏	lintonghong
收腹器	shoufuqi
劉慶	liuqing
体育联赛	tiyuliansai
冰爪	bingzhao
网球	wangqiu
中国举重协会	zhongguojuzhongxiehui
哈林搖	halinyao
歐凱治療	oukaizhiliao
擂台之王	leitaizhiwang
安英学	anyingxue
運動鞋	yundongxie
扫帚球	saozhouqiu
邱炳坤	qiubingkun
釣蝦	diaoxia
进攻	jingong
鏈球	lianqiu
魏美惠	weimeihui
吉隆坡体育场	jilongpotiyuchang
蜂巢体育场	fengchaotiyuchang
棒球術語列表	bangqiushuyuliebiao
練習	lianxi
全明星賽	quanmingxingsai
單車臨界量	danchelinjieliang
舞王	wuwang
体育部	tiyubu
沙狐球	shahuqiu
翁子婷	wengziting
繩	sheng
整體攻擊指數	zhengtigongjizhishu
罚点球	fadianqiu
麥堅力	maijianli
苯丙胺	benbingan
足球装备	zuqiuzhuangbei
拆你屋	chainiwu
世界舞蹈日	shijiewudaori
康樂球	kangleqiu
皇家联赛	huangjialiansai
舊烏利維球場	jiuwuliweiqiuchang
迪凯思	dikaisi
混合過關	hunheguoguan
林子翔	linzixiang
英东体育场	yingdongtiyuchang
根西足球總會	genxizuqiuzonghui
法國足球總會	faguozuqiuzonghui
申鹏	shenpeng
挺台灣	tingtaiwan
北站体育场	beizhantiyuchang
繞圈球	raoquanqiu
轻中量级	qingzhongliangji
飛人佐敦	feirenzuodun
隆宾尼拳场	longbinniquanchang
臺北太陽	taibeitaiyang
王晓炯	wangxiaojiong
許金雄	xujinxiong
疯狂男孩	fengkuangnanhai
李正植	lizhengzhi
壁球	biqiu
三不沾	sanbuzhan
競賽	jingsai
威浮球	weifuqiu
林哲瑋	linzhewei
賴有德	laiyoude
第一届超级碗	diyijiechaojiwan
攀岩牆	panyanqiang
把瑠都凱斗	baliudoukaidou
盧浩華	luhaohua
扎勒体育	zhaleitiyu
平擊	pingji
愛國裁判	aiguocaipan
冰钓	bingdiao
阿尔伯塔德比	aerbotadebi
棒球球路	bangqiuqiulu
競技游泳	jingjiyouyong
淄博市体育场	ziboshitiyuchang
練習場	lianxichang
灰姑娘	huiguniang
季軍	jijun
洪瑞河	hongruihe
碼頭跳水	matoutiaoshui
长江漂流事件	zhangjiangpiaoliushijian
葡萄適	putaoshi
曾文誠	cengwencheng
王志庭	wangzhiting
健身器材	jianshenqicai
马拉松	malasong
锐步	ruibu
第三球衣	disanqiuyi
圣米格尔球场	shengmigeerqiuchang
藺世全	linshiquan
冠軍之夜	guanjunzhiye
罢赛	basai
护裆	hudang
斯凯奇	sikaiqi
荷蘭鍋	helanguo
弓步	gongbu
林佳慧	linjiahui
斯伯丁	siboding
攀登競賽	pandengjingsai
鬼工球	guigongqiu
登德里夫球場	dengdelifuqiuchang
陳進龍	chenjinlong
冬季兩項	dongjiliangxiang
業餘摔跤	yeyushuaijiao
馮傳強	fengchuanqiang
安德玛	andema
中国摔跤协会	zhongguoshuaijiaoxiehui
足尖鞋	zujianxie
超羽量级	chaoyuliangji
三振率	sanzhenlv
中国滑雪协会	zhongguohuaxuexiehui
等级分	dengjifen
泰特利斯	taitelisi
循环系统	xunhuanxitong
泰拳	taiquan
王继德	wangjide
卡利竞技球场	kalijingjiqiuchang
激光跑	jiguangpao
赛道	saidao
主场	zhuchang
超中量级	chaozhongliangji
起跑犯規	qipaofangui
林迪舞	lindiwu
帕尼尼集團	paninijituan
增城体育场	zengchengtiyuchang
林唯均	linweijun
犯規	fangui
香蕉船	xiangjiaochuan
倉鼠球	cangshuqiu
中込伸	zhongyushen
國技	guoji
俯卧撑	fuwocheng
代訓藍	daixunlan
中场休息	zhongchangxiuxi
游泳圈	youyongquan
迪美亞球場	dimeiyaqiuchang
體育評述員	tiyupingshuyuan
室內美式足球	shineimeishizuqiu
王博玄	wangboxuan
风筝	fengzheng
麥特魯體育場	maitelutiyuchang
王涛	wangtao
擲標槍	zhibiaoqiang
夜騎開封	yeqikaifeng
第二届超级碗	dierjiechaojiwan
橄欖球類運動	ganlanqiuleiyundong
外野手	waiyeshou
運動用品	yundongyongpin
始祖鸟公司	shizuniaogongsi
布基尼	bujini
門敢紅	menganhong
夺旗	duoqi
陳芴	chenwu
淘汰制	taotaizhi
洪萬庭	hongwanting
漆彈	qidan
打數	dashu
謝偉軍	xieweijun
葉菊妹	yejumei
西班牙人营	xibanyarenying
體育旅遊	tiyulvyou
張昭雄	zhangzhaoxiong
體育洗白	tiyuxibai
早鳥條款	zaoniaotiaokuan
捷舞	jiewu
高爾夫球	gaoerfuqiu
體育基本法	tiyujibenfa
健力宝	jianlibao
大满贯	damanguan
泛舟	fanzhou
博斯曼法案	bosimanfaan
極限運動	jixianyundong
吳春財	wuchuncai
崔鐵洙	cuitiezhu
冬泳	dongyong
鄭成玉	zhengchengyu
冠軍	guanjun
林孝桐	linxiaotong
高橋慶帆	gaoqiaoqingfan
林貞心	linzhenxin
廣東獵豹隊	guangdongliebaodui
代谢当量	daixiedangliang
羽毛球	yumaoqiu
王嘉廉	wangjialian
药球	yaoqiu
林原裕	linyuanyu
姚明	yaoming
踢踏舞	titawu
富邦二軍	fubangerjun
余冠燐	yuguanlin
落後場次	luohouchangci
劉家拳	liujiaquan
射擊運動	shejiyundong
黄年代成就奖	huangniandaichengjiujiang
洗冰車	xibingche
摩腾公司	motenggongsi
竞猜型彩票	jingcaixingcaipiao
撞球術語列表	zhuangqiushuyuliebiao
孫易伸	sunyishen
跆拳道用品	taiquandaoyongpin
李英華	liyinghua
上篮	shanglan
田徑場	tianjingchang
士氣	shiqi
木洞棒球場	mudongbangqiuchang
自行車馬球	zixingchemaqiu
飛盤	feipan
皮艇	piting
爆冷	baoleng
铜牌	tongpai
彈跳桿	dantiaogan
降落伞	jiangluosan
麻黄	mahuang
王明俊	wangmingjun
英东游泳馆	yingdongyouyongguan
水類運動	shuileiyundong
晨運	chenyun
奧尼爾	aonier
乳膠服裝	rujiaofuzhuang
梅逸	meiyi
掩護	yanhu
決戰星期日	juezhanxingqiri
威廉希爾	weilianxier
自由式滑雪	ziyoushihuaxue
電子襪	dianziwa
龙华文体中心	longhuawentizhongxin
單板滑雪板	danbanhuaxueban
开合跳	kaihetiao
棋鐘	qizhong
雪崩信標	xuebengxinbiao
垂直風洞	chuizhifengdong
舞蹈研究	wudaoyanjiu
蝴蝶機	hudieji
马克龙	makelong
競技啦啦隊	jingjilaladui
冰壺	binghu
體育經紀人	tiyujingjiren
拉力器	laliqi
日本競艇	ribenjingting
壘球	leiqiu
蓬塔卡纳杯	pengtakanabei
趙志堅	zhaozhijian
握力	woli
百轟	baihong
赤星式盗垒	chixingshidaolei
狂熱球迷	kuangreqiumi
大力士挑戰	dalishitiaozhan
独角兽球场	dujiaoshouqiuchang
匡威	kuangwei
第二打擊率	dierdajilv
氨綸	anlun
跳水馬	tiaoshuima
小八極	xiaobaji
鄭海源	zhenghaiyuan
军人球场	junrenqiuchang
林姿妤	linziyu
救生圈	jiushengquan
自行车旅行	zixingchelvxing
亞洲盤	yazhoupan
中鋒	zhongfeng
石伟	shiwei
浮士德球	fushideqiu
跳水	tiaoshui
冠軍人馬獎	guanjunrenmajiang
李传芬	lichuanfen
體適能	tishineng
刘娇	liujiao
球衣号码	qiuyihaoma
花式足球	huashizuqiu
呜呜祖拉	wuwuzula
躲避球	duobiqiu
中国射击协会	zhongguoshejixiehui
夏日衝擊	xiarichongji
測驗	ceyan
打點	dadian
籃球服	lanqiufu
比賽造假	bisaizaojia
标靶	biaoba
世界錦標賽	shijiejinbiaosai
中繼成功	zhongjichenggong
黃春棉	huangchunmian
中国游泳协会	zhongguoyouyongxiehui
鈴木紀夫	lingmujifu
朴英顺	puyingshun
速比涛	subitao
高展宏	gaozhanhong
李铁	litie
哈林篮球队	halinlanqiudui
网球计分系统	wangqiujifenxitong
花样游泳	huayangyouyong
刺槍術	ciqiangshu
醫院波	yiyuanbo
水肺	shuifei
定點球	dingdianqiu
游擊手	youjishou
絕殺	juesha
板球統計用語	banqiutongjiyongyu
排球	paiqiu
凉棚	liangpeng
森林浴	senlinyu
石同鼎	shitongding
希素球場慘劇	xisuqiuchangcanju
巴斯克回力球	basikehuiliqiu
科里循环	kelixunhuan
极限烫衣	jixiantangyi
四格球遊戲	sigeqiuyouxi
鉑金體育館	bojintiyuguan
中乔体育	zhongqiaotiyu
糖异生	tangyisheng
回力镖	huilibiao
球袜	qiuwa
滑翔机	huaxiangji
李剑芳	lijianfang
氣墊球	qidianqiu
冠名权	guanmingquan
糖原	tangyuan
王秋竣	wangqiujun
高登科	gaodengke
泳帽	yongmao
平壤體育館	pingrangtiyuguan
花樣滑雪	huayanghuaxue
台灣運動彩券	taiwanyundongcaiquan
撞球	zhuangqiu
马卡拉帕	makalapa
耐克	naike
舒跑	shupao
中国垒球协会	zhongguoleiqiuxiehui
足壘球	zuleiqiu
耐克滑板	naikehuaban
魯杜魯球場	luduluqiuchang
中国体操协会	zhongguoticaoxiehui
泰勒梅	taileimei
田阿妹	tianamei
網球拍	wangqiupai
綜合運動會	zongheyundonghui
龙狮戴尔	longshidaier
荷马	hema
曲棍球	qugunqiu
第三届超级碗	disanjiechaojiwan
螺旋球	luoxuanqiu
中繼投手	zhongjitoushou
保齡球	baolingqiu
体重级别	tizhongjibie
包庭政	baotingzheng
鐵球	tieqiu
压缩机	yasuoji
開輪式賽車	kailunshisaiche
張誌家	zhangzhijia
大象馬球	daxiangmaqiu
北京猛虎队	beijingmenghudui
許志杉	xuzhishan
加州內戰	jiazhouneizhan
文化体育部	wenhuatiyubu
詩欣館	shixinguan
北極狐	beijihu
地擲球	dizhiqiu
印度鬥雞	yindudouji
攀岩鞋	panyanxie
躲避飛盤	duobifeipan
罚球	faqiu
江旻憓	jiangminhui
草地曲棍球	caodiqugunqiu
非鳥條款	feiniaotiaokuan
足球戰爭	zuqiuzhanzheng
外接球	waijieqiu
马卡比运动会	makabiyundonghui
浪花兄弟	langhuaxiongdi
雪地排球	xuedipaiqiu
杰斯伯	jiesibo
火柴	huochai
魚腩部隊	yunanbudui
未完赛	weiwansai
楊恆韋	yanghengwei
何嘉欣	hejiaxin
國際馬術總會	guojimashuzonghui
球衣	qiuyi
芬式棒球	fenshibangqiu
极限滑板车	jixianhuabanche
勝利打點	shenglidadian
丁水德	dingshuide
乒乓外交	pingpangwaijiao
老撾足球協會	laowozuqiuxiehui
旄舞	maowu
國際藤球總會	guojitengqiuzonghui
轻沉量级	qingchenliangji
薛金华	xuejinhua
陳河東	chenhedong
女子相扑	nvzixiangpu
技术区域	jishuquyu
休闲捕鱼	xiuxianbuyu
旭格竞技场	xugejingjichang
超白金一代	chaobaijinyidai
吳清錦	wuqingjin
固定賠率博彩	gudingpeilvbocai
葡萄牙體育	putaoyatiyu
潛水面鏡	qianshuimianjing
索佐波尔球场	suozuoboerqiuchang
基础代谢率	jichudaixielv
大細	daxi
城市挑戰	chengshitiaozhan
奥运争光计划	aoyunzhengguangjihua
球童	qiutong
體育精神	tiyujingshen
出场	chuchang
沒收比賽	meishoubisai
潜水服	qianshuifu
陈邦萍	chenbangping
插水	chashui
技有	jiyou
三分球	sanfenqiu
超風速	chaofengsu
中国之队	zhongguozhidui
作弊	zuobi
职业拳击	zhiyequanji
投球機	touqiuji
中產階級條款	zhongchanjiejitiaokuan
斯科特體育	siketetiyu
