# 泰深输入法专业词库 — psychology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
哈菲茲	hafeizi
感覺剝奪	ganjueboduo
悲观主义	beiguanzhuyi
憂鬱病	youyubing
仇恨	chouhen
解决问题	jiejuewenti
公平理论	gongpinglilun
心理学大纲	xinlixuedagang
日内瓦学派	rineiwaxuepai
低球技术	diqiujishu
特质理论	tezhililun
求救的勇氣	qiujiudeyongqi
黑羊效應	heiyangxiaoying
記憶	jiyi
超越	chaoyue
侮辱	wuru
人事心理學	renshixinlixue
第三方惩罚	disanfangchengfa
心智	xinzhi
阿莱悖论	alaibeilun
平行纖維	pingxingxianwei
鷹架理論	yingjialilun
羞辱	xiuru
煩惱	fannao
優越感	youyuegan
利手	lishou
自助者天助之	zizhuzhetianzhuzhi
喷气式	penqishi
理性自然人	lixingziranren
教师心理学	jiaoshixinlixue
精神分析学	jingshenfenxixue
字彙發展	zihuifazhan
跨文化心理學	kuawenhuaxinlixue
年龄角色	nianlingjiaose
青年危機	qingnianweiji
十牛圖	shiniutu
因素分析	yinsufenxi
善良	shanliang
中國式過馬路	zhongguoshiguomalu
觉醒	juexing
男性的性	nanxingdexing
憤怒	fennu
零异频道	lingyipindao
肛门滞留人格	gangmenzhiliurenge
現實檢驗	xianshijianyan
恐懼管理理論	kongjuguanlililun
波动性不对称	bodongxingbuduicheng
捉鬼	zhuogui
資訊統整理論	zixuntongzhenglilun
心理陰影	xinliyinying
偽善	weishan
李斯特狂熱	lisitekuangre
番茄工作法	fanjiagongzuofa
延遲滿足	yanchimanzu
忖度服从	cundufucong
汉尼拔	hanniba
資優	ziyou
非人化	feirenhua
思想	sixiang
个人边界	gerenbianjie
癔症研究	yizhengyanjiu
奔馳法	benchifa
神经行为学	shenjingxingweixue
法西斯主义	faxisizhuyi
主知主義	zhuzhizhuyi
會陰神經	huiyinshenjing
驚訝	jingya
神經增強	shenjingzengqiang
低成就學生	dichengjiuxuesheng
物體恆存	wutihengcun
語言習得裝置	yuyanxidezhuangzhi
認知慣性	renzhiguanxing
设计心理学	shejixinlixue
水平思考	shuipingsikao
從眾效應	congzhongxiaoying
洗腦	xinao
認知缺陷	renzhiquexian
晕轮效应	yunlunxiaoying
爱情三因论	aiqingsanyinlun
小艾伯特实验	xiaoaiboteshiyan
幸災樂禍	xingzailehuo
熱線輔導	rexianfudao
多维标度	duoweibiaodu
精神決定論	jingshenjuedinglun
多数无知	duoshuwuzhi
美国梦	meiguomeng
模仿犯罪	mofangfanzui
心理定势	xinlidingshi
飲彈	yindan
麦当劳三要素	maidanglaosanyaosu
语义饱和	yuyibaohe
霸凌	baling
軀體化	qutihua
认识	renshi
时间	shijian
六慾	liuyu
認知評估	renzhipinggu
按钮	anniu
死亡威胁	siwangweixie
广告效果模型	guanggaoxiaoguomoxing
罪證解碼	zuizhengjiema
增強	zengqiang
漣漪效應	lianyixiaoying
單獨監禁	dandujianjin
关系	guanxi
信心	xinxin
问题空间	wentikongjian
自我中心主義	ziwozhongxinzhuyi
犯罪構成要素	fanzuigouchengyaosu
失败主义	shibaizhuyi
我思故我在	wosiguwozai
核心家庭	hexinjiating
陌生人	moshengren
惯性思维	guanxingsiwei
摩耳甫斯	moerfusi
期望理论	qiwanglilun
同理心	tonglixin
幻梦境	huanmengjing
李克特量表	liketeliangbiao
悔罪	huizui
熱心	rexin
意動	yidong
過度專注	guoduzhuanzhu
動物傳心	dongwuchuanxin
有意义学习	youyiyixuexi
逆境商數	nijingshangshu
颞叶	nieye
威权型人格	weiquanxingrenge
公共知识分子	gonggongzhishifenzi
先天論	xiantianlun
重要他人	zhongyaotaren
睡眠质量	shuimianzhiliang
需要	xuyao
兴趣	xingqu
安眠書店	anmianshudian
勾引社群	gouyinshequn
斐多篇	feiduopian
圣彼得堡悖论	shengbidebaobeilun
直接教學法	zhijiejiaoxuefa
纯粹记忆	chuncuijiyi
春夢	chunmeng
柯萊	kelai
厭惡	yane
本能	benneng
心理衛生行政	xinliweishengxingzheng
價值觀	jiazhiguan
受害者學	shouhaizhexue
动机增强疗法	dongjizengqiangliaofa
情緒化推理	qingxuhuatuili
面孔知觉	miankongzhijue
吹噓	chuixu
古典制約	gudianzhiyue
模仿	mofang
腦閉塞	naobisai
心靈模塊性	xinlingmokuaixing
七情	qiqing
反应时	fanyingshi
宗教思想	zongjiaosixiang
筆跡學	bijixue
非自願單身	feiziyuandanshen
激情	jiqing
民間心理學	minjianxinlixue
精神胜利法	jingshenshenglifa
託夢	tuomeng
掌握学习	zhangwoxuexi
心理狀態測驗	xinlizhuangtaiceyan
懼高症	jugaozheng
心理彈性	xinlidanxing
旁观者效应	pangguanzhexiaoying
現實	xianshi
问题	wenti
中期記憶	zhongqijiyi
审美距离	shenmeijuli
性正面運動	xingzhengmianyundong
身心性疾病	shenxinxingjibing
贝尔梅斯之脸	beiermeisizhilian
引誘	yinyou
功能主義	gongnengzhuyi
環境豐富化	huanjingfengfuhua
環境和行為	huanjinghexingwei
行為地理學	xingweidilixue
微暴力	weibaoli
自助團體	zizhutuanti
斑比效應	banbixiaoying
错失恐惧症	cuoshikongjuzheng
運動心像	yundongxinxiang
运动技能学习	yundongjinengxuexi
原型理論	yuanxinglilun
心智社会	xinzhishehui
習得性失助	xidexingshizhu
练习律	lianxilv
生涯規劃	shengyaguihua
舒适区	shushiqu
哲學諮商	zhexuezishang
神經政治學	shenjingzhengzhixue
责任分散	zerenfensan
不言	buyan
抽象化	chouxianghua
心理学	xinlixue
愛	ai
座右銘	zuoyouming
存在與時間	cunzaiyushijian
社会认知	shehuirenzhi
閱讀	yuedu
語言模塊	yuyanmokuai
雙碼理論	shuangmalilun
自我藥療	ziwoyaoliao
持续性认知	chixuxingrenzhi
計畫行為理論	jihuaxingweililun
白日夢	bairimeng
恋子情结	lianziqingjie
島時間	daoshijian
生態心理學	shengtaixinlixue
視覺短期記憶	shijueduanqijiyi
忠實	zhongshi
模式识别	moshishibie
人格暗殺	rengeansha
行為經濟學	xingweijingjixue
窺視症	kuishizheng
年齡適合性	nianlingshihexing
激勵	jili
轴丘	zhouqiu
曖昧圖形	aimeituxing
读唇法	duchunfa
獵夢特工	liemengtegong
神经症	shenjingzheng
本能理论	bennenglilun
应激性	yingjixing
干擾理論	ganraolilun
文化图式理论	wenhuatushililun
宗教經驗	zongjiaojingyan
系列位置效应	xilieweizhixiaoying
解释鸿沟	jieshihonggou
意识	yishi
演化美學	yanhuameixue
反事实思维	fanshishisiwei
喚醒	huanxing
自卑情结	zibeiqingjie
学习理论	xuexililun
面子	mianzi
转换障碍	zhuanhuanzhangai
清醒夢	qingxingmeng
孤独	gudu
回聲記憶	huishengjiyi
心理史學	xinlishixue
臂神經叢後索	bishenjingconghousuo
外顯知識	waixianzhishi
多极神经元	duojishenjingyuan
心理學年表	xinlixuenianbiao
失望	shiwang
理性	lixing
社会智力	shehuizhili
行為	xingwei
預測編碼	yucebianma
生物反馈	shengwufankui
控制狂	kongzhikuang
自我概念	ziwogainian
故意	guyi
希望	xiwang
責備	zebei
心理学报	xinlixuebao
世界記憶大師	shijiejiyidashi
校園生活問卷	xiaoyuanshenghuowenjuan
四種氣質	sizhongqizhi
啄序	zhuoxu
性心理發展	xingxinlifazhan
撒嬌	sajiao
假单极神经元	jiadanjishenjingyuan
戀水癖	lianshuipi
心智年龄	xinzhinianling
理想者	lixiangzhe
功能固着	gongnengguzhe
社會心理	shehuixinli
哀傷	aishang
习惯	xiguan
虛談症	xutanzheng
心理物理学	xinliwulixue
意志	yizhi
灰姑娘效應	huiguniangxiaoying
觀念論	guannianlun
情节记忆	qingjiejiyi
水迷宫	shuimigong
延宕	yandang
状态意识	zhuangtaiyishi
甜點抗辯	tiandiankangbian
元分析	yuanfenxi
本能行为	bennengxingwei
意动心理学	yidongxinlixue
多重草稿模型	duozhongcaogaomoxing
逆潮	nichao
食物渴望	shiwukewang
香港中文大學	xianggangzhongwendaxue
群體介入	quntijieru
犹昧感	youmeigan
知覺心理學	zhijuexinlixue
似曾相識	shicengxiangshi
现状偏差	xianzhuangpiancha
家庭系统排列	jiatingxitongpailie
逃避	taobi
助推理论	zhutuililun
不作为偏误	buzuoweipianwu
運動心理學	yundongxinlixue
兒童發展階段	ertongfazhanjieduan
隱蔽排卵	yinbipailuan
精致利己主义	jingzhilijizhuyi
敵意	diyi
憂鬱的解剖	youyudejiepou
记忆之场	jiyizhichang
过程追踪	guochengzhuizong
情緒商數	qingxushangshu
德雷福斯模型	deleifusimoxing
相互決定論	xianghujuedinglun
趋光性	quguangxing
应用心理学	yingyongxinlixue
情緒失調	qingxushidiao
抑鬱	yiyu
子宫阴道羡妒	zigongyindaoxiandu
恐慌	konghuang
性挫折	xingcuozhe
冷色	lengse
政治心理學	zhengzhixinlixue
人格面具	rengemianju
反向言语	fanxiangyanyu
共同編碼理論	gongtongbianmalilun
雙重意識	shuangzhongyishi
七情六欲	qiqingliuyu
過度社會化	guodushehuihua
幸福政策	xingfuzhengce
罗森汉恩实验	luosenhanenshiyan
恐嚇從善	kongxiacongshan
心碎	xinsui
去敏感化	quminganhua
非生物胁迫	feishengwuxiepo
意向性	yixiangxing
反調	fandiao
期望激励理论	qiwangjilililun
投资心理学	touzixinlixue
广告学	guanggaoxue
心灵感应	xinlingganying
互依互助会	huyihuzhuhui
新年新希望	xinnianxinxiwang
自我揭露	ziwojielu
下流科學	xialiukexue
應變管理	yingbianguanli
哭	ku
認知心理學	renzhixinlixue
時間統覺	shijiantongjue
負面童年經驗	fumiantongnianjingyan
社会心理学	shehuixinlixue
悲傷	beishang
时空压缩	shikongyasuo
孤狼人格	gulangrenge
不肖子定理	buxiaozidingli
选择理论	xuanzelilun
侵入性思考	qinruxingsikao
懷舊	huaijiu
認知革命	renzhigeming
貓咪經濟學	maomijingjixue
指责受害人	zhizeshouhairen
快速動眼期	kuaisudongyanqi
霍桑效应	huosangxiaoying
幫助	bangzhu
闪回	shanhui
蔡加尼克效应	caijianikexiaoying
感恩	ganen
行動學習法	xingdongxuexifa
彌賽亞情結	misaiyaqingjie
邦納症候群	bangnazhenghouqun
感覺	ganjue
盲人摸象	mangrenmoxiang
倒摄认知	daosherenzhi
言語虐待	yanyunvedai
阿希从众实验	axicongzhongshiyan
經濟心理學	jingjixinlixue
间隔重复	jiangezhongfu
心境障礙	xinjingzhangai
集體行動問題	jitixingdongwenti
性格	xingge
宣传	xuanchuan
外顯記憶	waixianjiyi
職業倦怠	zhiyejuandai
六顶思考帽子	liudingsikaomaozi
格式塔学派	geshitaxuepai
敬畏	jingwei
活出意義來	huochuyiyilai
精神病学	jingshenbingxue
身體意象	shentiyixiang
神经递质	shenjingdizhi
理智	lizhi
犯罪心理學	fanzuixinlixue
心理学与生活	xinlixueyushenghuo
原型	yuanxing
自我意像	ziwoyixiang
結構主義	jiegouzhuyi
敏化作用	minhuazuoyong
同情	tongqing
偏見	pianjian
认知风格	renzhifengge
双继承理论	shuangjichenglilun
分手	fenshou
倡議	changyi
两手同利	liangshoutongli
心理衛生教育	xinliweishengjiaoyu
分析	fenxi
自尊	zizun
表達規則	biaodaguize
校園欺凌	xiaoyuanqiling
快樂	kuaile
社会惯性	shehuiguanxing
目黑将司	muheijiangsi
惊人的假说	jingrendejiashuo
認知地圖	renzhiditu
教育心理学	jiaoyuxinlixue
反俄狄浦斯	fanedipusi
關鍵期假說	guanjianqijiashuo
概念图	gainiantu
木村久一	mucunjiuyi
社會聯結	shehuilianjie
卡諾斯蒂效應	kanuosidixiaoying
年龄规范	nianlingguifan
系统脱敏法	xitongtuominfa
空間行為	kongjianxingwei
單向性聚焦	danxiangxingjujiao
精神药物	jingshenyaowu
幽默理論	youmolilun
良知	liangzhi
迷因	miyin
意外发现	yiwaifaxian
陳述性記憶	chenshuxingjiyi
私語	siyu
情感親密	qingganqinmi
接受学习	jieshouxuexi
批判性思维	pipanxingsiwei
心理成熟	xinlichengshu
情緒狀態量表	qingxuzhuangtailiangbiao
踢猫效应	timaoxiaoying
絕望	juewang
努秘	numi
预期社会化	yuqishehuihua
瀕死經驗	binsijingyan
微表情	weibiaoqing
动机	dongji
壓抑記憶	yayijiyi
性客体化	xingketihua
力學感受器	lixueganshouqi
佛貝托爾	fubeituoer
确定问题测验	quedingwenticeyan
測驗	ceyan
行為懲罰	xingweichengfa
道德心理学	daodexinlixue
創造力	chuangzaoli
感覺閾限	ganjueyuxian
励志演讲人	lizhiyanjiangren
跑者愉悦	paozheyuyue
肌肉記憶	jiroujiyi
積極聆聽	jijilingting
耐心	naixin
效標效度	xiaobiaoxiaodu
快思慢想	kuaisimanxiang
認知	renzhi
联结主义	lianjiezhuyi
通识	tongshi
縣民性	xianminxing
宗教现象学	zongjiaoxianxiangxue
魔鬼叉子	moguichazi
挫折	cuozhe
兴奋	xingfen
創造性想像	chuangzaoxingxiangxiang
念力	nianli
聽覺心像	tingjuexinxiang
海因茨偷药	haiyincitouyao
閃光燈記憶	shanguangdengjiyi
怀疑	huaiyi
共识现实	gongshixianshi
欣快	xinkuai
心理语言学	xinliyuyanxue
短期记忆	duanqijiyi
煩躁	fanzao
尷尬	ganga
心理教育	xinlijiaoyu
有牙陰道	youyayindao
感官分析	ganguanfenxi
心迷	xinmi
交通心理學	jiaotongxinlixue
人及其象徵	renjiqixiangzheng
聯想	lianxiang
声音交互设计	shengyinjiaohusheji
幻觉	huanjue
注意	zhuyi
健康心理学	jiankangxinlixue
情色性	qingsexing
教育研究	jiaoyuyanjiu
柏拉圖實在論	bailatushizailun
瀕死研究	binsiyanjiu
龍發堂	longfatang
團體凝聚力	tuantiningjuli
庸才	yongcai
總觀效應	zongguanxiaoying
记忆研究	jiyiyanjiu
操作制約	caozuozhiyue
过程性知识	guochengxingzhishi
透視	toushi
赫布理论	hebulilun
發現式學習	faxianshixuexi
替代性創傷	tidaixingchuangshang
笛卡爾劇院	dikaerjuyuan
情绪	qingxu
升华	shenghua
反精神醫學	fanjingshenyixue
暴露疗法	baoluliaofa
生物心理学	shengwuxinlixue
綜合智力因素	zonghezhiliyinsu
语言能力	yuyannengli
大自然不足症	daziranbuzuzheng
配合度	peihedu
念寫	nianxie
慣性收視	guanxingshoushi
泛性主义	fanxingzhuyi
通靈	tongling
网络心理学	wangluoxinlixue
鄧克輻射難題	dengkefushenanti
宗教妄想	zongjiaowangxiang
心盛	xinsheng
吸引力法則	xiyinlifaze
娃娃脸	wawalian
自性	zixing
抽认卡	chourenka
冷静	lengjing
整體心理學	zhengtixinlixue
被试者	beishizhe
利他主义	litazhuyi
情緒勒索	qingxuleisuo
人為疾患	renweijihuan
陈述性知识	chenshuxingzhishi
李伯大夢	libodameng
科里奧利效應	keliaolixiaoying
棋盤陰影錯覺	qipanyinyingcuojue
理解	lijie
社会工程学	shehuigongchengxue
軟墊病室	ruandianbingshi
被動攻擊行為	beidonggongjixingwei
犯罪行為	fanzuixingwei
無	wu
成对比较	chengduibijiao
虛擬導具	xunidaoju
智力三元理論	zhilisanyuanlilun
飛現象	feixianxiang
理性主义	lixingzhuyi
九型人格	jiuxingrenge
死亡實驗	siwangshiyan
講述教學法	jiangshujiaoxuefa
福来友吉	fulaiyouji
残忍	canren
道德	daode
心智表徵	xinzhibiaozheng
戴秉衡	daibingheng
性壓抑	xingyayi
知识分子	zhishifenzi
人格本質模型	rengebenzhimoxing
反感	fangan
凝視	ningshi
雙重歷程理論	shuangzhonglichenglilun
背肩胛神經	beijianjiashenjing
懶惰	landuo
人格解體	rengejieti
情緒主義	qingxuzhuyi
急性应激反应	jixingyingjifanying
髌丛	bincong
肢体语言	zhitiyuyan
口欲期	kouyuqi
平衡理論	pinghenglilun
主体性	zhutixing
三座山測試	sanzuoshanceshi
腦力激盪法	naolijidangfa
社會化	shehuihua
行为绝望模型	xingweijuewangmoxing
心流理論	xinliulilun
衝動購物症	chongdonggouwuzheng
性冲动	xingchongdong
不确定性	buquedingxing
心理动力学	xinlidonglixue
激活扩散	jihuokuosan
绝望之井	juewangzhijing
危机事故处理	weijishiguchuli
新神秘主義	xinshenmizhuyi
額葉	eye
情意	qingyi
心理學家謬誤	xinlixuejiamiuwu
人工意識	rengongyishi
杏仁核劫持	xingrenhejiechi
时间洞察力	shijiandongchali
超越快樂原則	chaoyuekuaileyuanze
自殺預防	zishayufang
鲶鱼效应	nianyuxiaoying
論攻擊性	lungongjixing
防疫疲勞	fangyipilao
美国心理学会	meiguoxinlixuehui
肯迪	kendi
神经心理学	shenjingxinlixue
個人中心治療	gerenzhongxinzhiliao
士氣	shiqi
餘光恐懼症	yuguangkongjuzheng
牛津能力分析	niujinnenglifenxi
特殊语言能力	teshuyuyannengli
诺耶玛	nuoyema
教育评估	jiaoyupinggu
芳塔索斯	fangtasuosi
色彩心理學	secaixinlixue
戀父情結	lianfuqingjie
零风险偏误	lingfengxianpianwu
標準九分	biaozhunjiufen
迷戀	milian
臨終異象	linzhongyixiang
他異性	tayixing
女學學誌	nvxuexuezhi
疯癫与文明	fengdianyuwenming
心理健康	xinlijiankang
夢	meng
數學焦慮	shuxuejiaolv
感官过载	ganguanguozai
未成年恋爱	weichengnianlianai
親生命假說	qinshengmingjiashuo
解读面孔	jiedumiankong
錯聽	cuoting
克里安照相術	kelianzhaoxiangshu
內疚	neijiu
學校恐懼症	xuexiaokongjuzheng
去穩定化	quwendinghua
自信	zixin
社會性懈怠	shehuixingxiedai
超自然现象	chaoziranxianxiang
斯特鲁普效应	sitelupuxiaoying
慕被殺癖	mubeishapi
心靈	xinling
自我意識	ziwoyishi
詞頻效應	cipinxiaoying
成就动机理论	chengjiudongjililun
信念固着	xinnianguzhe
文化心理学	wenhuaxinlixue
自我決定論	ziwojuedinglun
展望理论	zhanwanglilun
禁忌	jinji
门口效应	menkouxiaoying
感性	ganxing
偏差	piancha
生态系统理论	shengtaixitonglilun
長期增強作用	zhangqizengqiangzuoyong
命題論	mingtilun
幾原邦彥	jiyuanbangyan
魂囚西門	hunqiuximen
市场心理学	shichangxinlixue
擬像	nixiang
信号检测理论	xinhaojiancelilun
厭煩	yanfan
饥饿	jie
視錯覺	shicuojue
社區心理學	shequxinlixue
生態層次分析	shengtaicengcifenxi
不确定性规避	buquedingxingguibi
理性行為理論	lixingxingweililun
梦骑士	mengqishi
轉念	zhuannian
变化盲视	bianhuamangshi
一見鍾情	yijianzhongqing
捕夢網	bumengwang
冥想	mingxiang
笑理學	xiaolixue
演化錯配	yanhuacuopei
项目反应理论	xiangmufanyinglilun
社會控制理論	shehuikongzhililun
空虚	kongxu
刺激	ciji
梦男	mengnan
異常心理學	yichangxinlixue
学习风格	xuexifengge
格拉斯曼定律	gelasimandinglv
多意识体	duoyishiti
反安慰劑	fananweiji
心物問題	xinwuwenti
动机式晤谈法	dongjishiwutanfa
知觉恒常性	zhijuehengchangxing
理性决策	lixingjuece
神经发生	shenjingfasheng
痛苦	tongku
述情障礙	shuqingzhangai
先天与后天	xiantianyuhoutian
效应值	xiaoyingzhi
情緒表達	qingxubiaoda
誇大	kuada
智力	zhili
先行组织者	xianxingzuzhizhe
跨性別成因	kuaxingbiechengyin
概念空間	gainiankongjian
分心	fenxin
李玉嬋	liyuchan
人格類型	rengeleixing
全語言教育	quanyuyanjiaoyu
最小可覺差	zuixiaokejuecha
試衣間的暗門	shiyijiandeanmen
中國夢	zhongguomeng
自然連結感	ziranlianjiegan
医学心理学	yixuexinlixue
自利性偏差	zilixingpiancha
精神病理學	jingshenbinglixue
普世文化通則	pushiwenhuatongze
生理心理学	shenglixinlixue
詮釋社會學	quanshishehuixue
評鑑中心法	pingjianzhongxinfa
事件相关电位	shijianxiangguandianwei
内省	neixing
初始效應	chushixiaoying
心理衛生指標	xinliweishengzhibiao
現實治療法	xianshizhiliaofa
心理健康促進	xinlijiankangcujin
靈感	linggan
磁感	cigan
憂鬱認知三角	youyurenzhisanjiao
認知負荷	renzhifuhe
潛意識	qianyishi
谱系中间者	puxizhongjianzhe
记忆术	jiyishu
提喻法	tiyufa
自私	zisi
音乐绘画	yinlehuihua
妒忌	duji
智性	zhixing
品行障碍	pinxingzhangai
感覺編碼	ganjuebianma
語言相對論	yuyanxiangduilun
身心医学	shenxinyixue
演化心理學	yanhuaxinlixue
梦鬼	menggui
博物館疲勞	bowuguanpilao
味觉厌恶	weijueyane
工作记忆	gongzuojiyi
将心比心	jiangxinbixin
发现	faxian
六度分隔理论	liudufengelilun
勇氣	yongqi
关系流动性	guanxiliudongxing
艺术心理学	yishuxinlixue
憐憫	lianmin
尖角效应	jianjiaoxiaoying
預防心理學	yufangxinlixue
預測效度	yucexiaodu
个人发展	gerenfazhan
飯友症候群	fanyouzhenghouqun
裂腦	lienao
環境心理學	huanjingxinlixue
构想	gouxiang
老鼠樂園	laoshuleyuan
心理結構	xinlijiegou
自陈量表	zichenliangbiao
道德运气	daodeyunqi
失實症	shishizheng
伦理学	lunlixue
圖像記憶	tuxiangjiyi
学习	xuexi
視覺語言	shijueyuyan
身心靈	shenxinling
恢復記憶治療	huifujiyizhiliao
亲子互动治疗	qinzihudongzhiliao
积极分裂理论	jijifenlielilun
人類生態學	renleishengtaixue
感受	ganshou
皮質醇	pizhichun
情感理論	qingganlilun
浪漫關係	langmanguanxi
心理學哲學	xinlixuezhexue
假想朋友	jiaxiangpengyou
信	xin
系统合理化	xitonghelihua
如厕训练	rucexunlian
归因理论	guiyinlilun
錯誤記憶	cuowujiyi
腳本理論	jiaobenlilun
自我實現	ziwoshixian
政治社会化	zhengzhishehuihua
雙魚玉佩傳說	shuangyuyupeichuanshuo
睡眠瘫痪症	shuimiantanhuanzheng
音樂心理學	yinlexinlixue
認知主義	renzhizhuyi
语码混用	yumahunyong
療癒	liaoyu
自我管理	ziwoguanli
正念	zhengnian
画人测验	huarenceyan
恋女情结	liannvqingjie
腰骶神經叢	yaodishenjingcong
学障资优生	xuezhangziyousheng
原因論	yuanyinlun
青少年	qingshaonian
疗愈美食	liaoyumeishi
克隆巴赫系数	kelongbahexishu
生殖期	shengzhiqi
定錨效應	dingmaoxiaoying
錯覺	cuojue
淨化作用	jinghuazuoyong
單極神經元	danjishenjingyuan
應用行為分析	yingyongxingweifenxi
記得你	jideni
默讀	modu
压抑	yayi
知名度	zhimingdu
中介變項	zhongjiebianxiang
神经质	shenjingzhi
道德恐慌	daodekonghuang
心身二分法	xinshenerfenfa
内隐记忆	neiyinjiyi
剧场效应	juchangxiaoying
心理學探究	xinlixuetanjiu
勾引	gouyin
幽闭恐惧症	youbikongjuzheng
社會情緒	shehuiqingxu
認知神經科學	renzhishenjingkexue
犯罪意識	fanzuiyishi
概念	gainian
一詞多義	yiciduoyi
相合性偏誤	xianghexingpianwu
投射	toushe
破釜邏輯	pofuluoji
行动集群	xingdongjiqun
後設認知	housherenzhi
社會期許誤差	shehuiqixuwucha
金赛报告	jinsaibaogao
陰謀論	yinmoulun
亲敌效应	qindixiaoying
内隐自尊	neiyinzizun
完美主义	wanmeizhuyi
前世回溯	qianshihuisu
骄傲	jiaoao
波波玩偶实验	bobowanoushiyan
典範轉移	dianfanzhuanyi
理论心理学	lilunxinlixue
洗脑心理学	xinaoxinlixue
心理学评论	xinlixuepinglun
尋愛綺夢	xunaiqimeng
丁蟹效應	dingxiexiaoying
信任	xinren
狐狗狸	hugouli
後認知主義	hourenzhizhuyi
镜子测试	jingziceshi
垃圾桶模式	lajitongmoshi
本體	benti
心語假說	xinyujiashuo
持之以恆	chizhiyiheng
意識形態	yishixingtai
正念減壓	zhengnianjianya
老化	laohua
貪婪	tanlan
认知吝啬者	renzhilinsezhe
臉紅	lianhong
死亡恐惧症	siwangkongjuzheng
自我效能	ziwoxiaoneng
童年失憶症	tongnianshiyizheng
拉博德疗养院	labodeliaoyangyuan
工作特徵模型	gongzuotezhengmoxing
狂野的梦	kuangyedemeng
搭便车问题	dabianchewenti
愚蠢	yuchun
自行分析	zixingfenxi
多看效應	duokanxiaoying
棉花糖实验	mianhuatangshiyan
行为银行	xingweiyinxing
想象	xiangxiang
马太效应	mataixiaoying
原生家庭	yuanshengjiating
朱立立	zhulili
控制点	kongzhidian
第三浪潮	disanlangchao
反向心理	fanxiangxinli
心理師	xinlishi
邓巴数	dengbashu
心理声学	xinlishengxue
夢的解析	mengdejiexi
情感史	qingganshi
神經科學哲學	shenjingkexuezhexue
图帕	tupa
恍惚	huanghu
確認偏誤	querenpianwu
精子竞争	jingzijingzheng
智性恋	zhixinglian
羨慕	xianmu
遷移假說	qianyijiashuo
方案評估	fanganpinggu
精神健康急救	jingshenjiankangjijiu
文化冲击	wenhuachongji
選擇	xuanze
圣经辅导	shengjingfudao
接觸感應	jiechuganying
多穩態知覺	duowentaizhijue
社会认知理论	shehuirenzhililun
基模	jimo
怪诞行为学	guaidanxingweixue
比較心理學	bijiaoxinlixue
男人自行之路	nanrenzixingzhilu
行为主义	xingweizhuyi
情欲	qingyu
發展障礙	fazhanzhangai
择偶	zeou
侵犯	qinfan
背诵	beisong
恶梦	emeng
反省實踐	fanshengshijian
差別接觸理論	chabiejiechulilun
恐惧	kongju
高峰体验	gaofengtiyan
概念混成理論	gainianhunchenglilun
实是性	shishixing
放鬆	fangsong
認命	renming
网格细胞	wanggexibao
鄉愁	xiangchou
近親性交	jinqinxingjiao
二分心智理論	erfenxinzhililun
預知	yuzhi
良性应激	liangxingyingji
少女不十分	shaonvbushifen
