# 泰深输入法专业词库 — conversation
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：泰深对话数据库语料挖掘（2026-05~08，得分=user频次x3+assistant频次）
# 生成: 2026-08-09 自动构建，人工可增删
# 追加: 2026-08-09 v2 归档语料二次挖掘（周易/六壬术语 + 会话概念 + 行业词）
泰深	taishen
老阴	laoyin
断卦	duangua
其用	qiyong
多源	duoyuan
错也	cuoye
旧值	jiuzhi
单例	danli
无妄	wuwang
造牌	zaopai
逐键	zhujian
更大	gengda
一爻	yiyao
之象	zhixiang
官鬼	guangui
官网	guanwang
给泰深	geitaishen
做个小	zuogexiao
量增价	liangzengjia
已落盘	yiluopan
追量型	zhuiliangxing
也被	yebei
画个	huage
爻值	yaozhi
木气	muqi
本号	benhao
要加	yaojia
这篇	zhepian
已做	yizuo
神评	shenping
双源	shuangyuan
不买	bumai
一版	yiban
一环	yihuan
换序	huanxu
里用	liyong
阳爻	yangyao
二变	erbian
生门	shengmen
踩坑	caikeng
蹇卦	jiangua
锁仓	suocang
归妹	guimei
得及	deji
震为雷	zhenweilei
一进二	yijiner
一闪	yishan
将值	jiangzhi
解挂	jiegua
获客	huoke
排盘	paipan
仅做	jinzuo
更像	gengxiang
录屏	luping
想做	xiangzuo
而生	ersheng
找找	zhaozhao
外框	waikuang
美股	meigu
到个	daoge
点半	dianban
汉缆	hanlan
更强	gengqiang
阿毅	ayi
个词	geci
一字	yizi
不被	bubei
但只	danzhi
运维	yunwei
这不	zhebu
只看	zhikan
已从	yicong
写得	xiede
断连	duanlian
上一	shangyi
已加	yijia
全被	quanbei
博主	bozhu
自洽	ziqia
上震	shangzhen
单票	danpiao
抛压	paoya
泰深去	taishenqu
多对一	duoduiyi
动爻与	dongyaoyu
震遂泥	zhensuini
切泰深	qietaishen
来找	laizhao
更高	genggao
上找	shangzhao
爻数	yaoshu
不太	butai
就这	jiuzhe
大但	dadan
都被	doubei
到点	daodian
闭源	biyuan
不随	busui
被拦	beilan
要按	yaoan
从零	congling
只留	zhiliu
记进	jijin
找个	zhaoge
秒级	miaoji
这对	zhedui
结盘	jiepan
只差	zhicha
这步	zhebu
换源	huanyuan
不追	buzhui
逐段	zhuduan
幂等	mideng
三爻	sanyao
四爻	siyao
攸往	youwang
日马	rima
大牲	dasheng
时只	shizhi
复并	fubing
每帧	meizhen
错音	cuoyin
浮盈	fuying
宽基	kuanji
用线上版	yongxianshangban
陈辞已毕	chenciyibi
聚类选股	juleixuangu
泰深最	taishenzui
说清则	shuoqingze
用泰深	yongtaishen
候能	houneng
没点	meidian
色组	sezu
预检	yujian
只打	zhida
时也	shiye
最被	zuibei
但多	danduo
不设	bushe
不全	buquan
话里	huali
只记	zhiji
旁存	pangcun
初誓	chushi
定志	dingzhi
随流	suiliu
哭笑	kuxiao
阴买	yinmai
即用	jiyong
主贴	zhutie
顿彬	dunbin
这只	zhezhi
追高	zhuigao
妖股	yaogu
短码	duanma
重连	zhonglian
静爻	jingyao
策数	ceshu
元亨	yuanheng
彖曰	tuanyue
里最	lizui
值符	zhifu
行师	xingshi
处硬	chuying
为零	weiling
超分	chaofen
不崩	bubeng
终验	zhongyan
出字	chuzi
沪深	hushen
之星	zhixing
见顶	jianding
半仓	bancang
丝滑	sihua
浮亏	fukui
外盘	waipan
越用越	yueyongyue
下知乎	xiazhihu
等宽列	dengkuanlie
阳变阴	yangbianyin
按拿推	annatui
请按	qingan
不懂	budong
动过	dongguo
去找	quzhao
断链	duanlian
要写	yaoxie
对大	duida
之数	zhishu
浅底	qiandi
清完	qingwan
靠谱	kaopu
先将	xianjiang
触碰	chupeng
来写	laixie
鉴权	jianquan
说说	shuoshuo
框和	kuanghe
说要	shuoyao
先改	xiangai
已入	yiru
后不	houbu
也行	yexing
到另	daoling
作区	zuoqu
里点	lidian
重测	zhongce
做但	zuodan
从主	congzhu
到么	daome
修坏	xiuhuai
某页	mouye
又个	youge
找下	zhaoxia
再到	zaidao
帧率	zhenlv
秒内	miaonei
调优	diaoyou
不叫	bujiao
用过	yongguo
候就	houjiu
通再	tongzai
个字	gezi
一屏	yiping
或用	huoyong
下后	xiahou
年第	niandi
说着	shuozhe
可做	kezuo
极高	jigao
件事	jianshi
改后	gaihou
用时	yongshi
这也	zheye
类名	leiming
这一	zheyi
升卦	shenggua
用大	yongda
没走	meizou
补进	bujin
张力	zhangli
将就	jiangjiu
脑洞	naodong
待排	daipai
切走	qiezou
双雷	shuanglei
实操	shicao
跑路	paolu
十维	shiwei
看多	kanduo
内盘	neipan
的口播稿	dekoubogao
雷泽归妹	leizeguimei
来起卦	laiqigua
年全栈	nianquanzhan
泰深说	taishenshuo
根因已	genyinyi
个泰案	getaian
色码橙	semacheng
边说边	bianshuobian
不做全	buzuoquan
子丑合	zichouhe
往无咎	wangwujiu
先迷后	xianmihou
审下点	shenxiadian
去查	qucha
不上	bushang
这很	zhehen
来就	laijiu
张图	zhangtu
小畜	xiaochu
发个	fage
预填	yutian
一人	yiren
就按	jiuan
更小	gengxiao
里说	lishuo
去读	qudu
按此	anci
再按	zaian
完再	wanzai
通吃	tongchi
蒙层	mengceng
衬线	chenxian
要让	yaorang
手搓	shoucuo
选个	xuange
玩梗	wangeng
再找	zaizhao
转弱	zhuanruo
该股	gaigu
中但	zhongdan
就和	jiuhe
做这	zuozhe
还需	haixu
里也	liye
但需	danxu
已跑	yipao
也走	yezou
未被	weibei
中做	zhongzuo
完就	wanjiu
没调	meidiao
阴爻	yinyao
只说	zhishuo
天盘	tianpan
丑土	choutu
火克	huoke
值岁	zhisui
引吉	yinji
而问	erwen
建侯	jianhou
均已	junyi
流里	liuli
后加	houjia
已开	yikai
拉满	laman
大壮	dazhuang
得先	dexian
谦卦	qiangua
就够	jiugou
只认	zhiren
幅值	fuzhi
守正	shouzheng
不丢	budiu
副屏	fuping
读纹	duwen
已按	yian
但更	dangeng
只传	zhichuan
就发	jiufa
营收	yingshou
定投	dingtou
增持	zengchi
择时	zeshi
亏钱	kuiqian
破位	powei
多空	duokong
陈总	chenzong
行高	xinggao
二以象两	eryixiangliang
量增价平	liangzengjiaping
利有攸往	liyouyouwang
画个图	huagetu
动爻数	dongyaoshu
六壬问	liurenwen
勾选后	gouxuanhou
泰深用	taishenyong
账不修	zhangbuxiu
栈解耦	zhanjieou
根因很	genyinhen
再切回	zaiqiehui
跟量型	genliangxing
轮动层	lundongceng
再问	zaiwen
就想	jiuxiang
就只	jiuzhi
没好	meihao
跑么	paome
暂未	zanwei
问能	wenneng
解局	jieju
不高	bugao
就剩	jiusheng
就很	jiuhen
用管	yongguan
个未	gewei
只删	zhishan
都带	doudai
之初	zhichu
能想	nengxiang
初分	chufen
话中	huazhong
一波	yibo
牛逼	niubi
读下	duxia
只被	zhibei
再进	zaijin
上拉	shangla
请看	qingkan
已过	yiguo
上不	shangbu
保活	baohuo
并把	bingba
截个	jiege
想加	xiangjia
九维	jiuwei
要跑	yaopao
连跌	liandie
底仓	dicang
票上	piaoshang
让新	rangxin
那不	nabu
往外	wangwai
留档	liudang
自拟	zini
外链	wailian
封单	fengdan
男频	nanpin
女频	nvpin
浮筹	fuchou
提权	tiquan
浮层	fuceng
纳甲	najia
手算	shousuan
发用	fayong
豫卦	yugua
比和	bihe
大畜	dachu
逆纹	niwen
美银	meiyin
扣非	koufei
中证	zhongzheng
看空	kankong
夏普	xiapu
大六壬排盘	daliurenpaipan
越用越懂你	yueyongyuedongni
大衍之数	dayanzhishu
掷钱问决	zhiqianwenjue
全量落盘	quanliangluopan
远观其势	yuanguanqishi
水山蹇	shuishanjian
根因链	genyinlian
天余	tianyu
地余	diyu
主会话	zhuhuihua
跨会话	kuahuihua
多会话	duohuihua
会话内	huihuanei
会话页	huihuaye
大过	daguo
中传	zhongchuan
上爻	shangyao
上卦	shanggua
下卦	xiagua
乾为天	qianweitian
萃卦	cuigua
姤卦	gougua
日支	rizhi
相刑	xiangxing
勾陈	gouchen
卦名	guaming
变卦	biangua
完读率	wandulv
甜宠	tianchong
追妻	zhuiqi
点赞	dianzan
背锅	beiguo
升维	shengwei
纬圈	weiquan
终校	zhongxiao
口播文案	koubowenan
选题库	xuantiku
没问题	meiwenti
抄不走	chaobuzou
